ID,Year,Host,State,County,Country,Field,Form.ID,Serial_agar_dilution_for_creating_the_model_..N.20.,hyphal_tip..ht.,DNA.Extraction,lat,long,Size.of.field..acres.,Percentage.Affected,History,Plot,Number.of.Years,Fungicide.This.Year,Chemigation,Applied.for.White.Mold,Fungicide_current_season,molecule.s._current_season,company_current_season,Timing,Applications,Rate,Pre.2015.Fungicides,Number.of.Years.1,Fungicide_previous_seasons,molecule.s._previous_seasons,company_previous_seasons,Timing..Soybean,Notes,Apparently.low.sensitiviy,Group_MOA_current_season,Group_MOA_previous_seasons,Fungicide_status,Selection_fungicides,Source
1,1973,drybeans,NE,Morrill,USA,,,Yes,Yes,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,tested,no_selected,Baseline
5,1973,drybeans,NE,Mitchell,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Baseline
7,1973,sunflower,NE,,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Baseline
8,1973,pigweed,NE,Mitchell,USA,,,Yes,Yes,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Baseline
12,1974,drybeans,NE,Western ,USA,,,Yes,Yes,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,tested,no_selected,Baseline
13,1974,drybeans,NE,Western ,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Baseline
15,1974,drybeans,NE,Western ,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Baseline
19,1974,drybeans,NE,Western ,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Baseline
20,1974,drybeans,NE,Western ,USA,,,Yes,Yes,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,tested,no_selected,Baseline
21,1974,drybeans,NE,Western ,USA,,,Yes,Yes,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,tested,no_selected,Baseline
