"","ID","Origin","State","Funcide","Host","Year","N_iso_perfield","bos","pico","tetra","TM"
"1",1,"Baseline","NE",NA,"drybeans",1973,NA,0,0,0,0
"2",5,"Baseline","NE",NA,"drybeans",1973,NA,NA,NA,NA,NA
"3",7,"Baseline","NE",NA,"sunflower",1973,NA,NA,NA,NA,NA
"4",8,"Baseline","NE",NA,"pigweed",1973,NA,0,0,1,0
"5",13,"FFT","NE",NA,"drybeans",1974,NA,NA,NA,NA,NA
"6",15,"Baseline","NE",NA,"drybeans",1974,NA,NA,NA,NA,NA
"7",19,"Baseline","NE",NA,"drybeans",1974,NA,NA,NA,NA,NA
"8",20,"Baseline","NE",NA,"drybeans",1974,NA,0,0,0,0
"9",21,"Baseline","NE",NA,"drybeans",1974,NA,0,0,0,0
"10",26,"Baseline","NE",NA,"drybeans",1974,NA,0,0,1,0
"11",27,"Baseline","NE",NA,"drybeans",1974,NA,NA,NA,NA,NA
"12",74,"Baseline","NE",NA,"drybeans",1974,NA,0,0,0,0
"13",81,"Baseline","NE",NA,"drybeans",1974,NA,NA,NA,NA,NA
"14",87,"Baseline","NE",NA,"drybeans",1974,NA,0,0,1,1
"15",89,"Baseline","NE",NA,"drybeans",1974,NA,NA,NA,NA,NA
"16",90,"Baseline","NE",NA,"drybeans",1974,NA,NA,NA,NA,NA
"17",91,"Baseline","NE",NA,"drybeans",1974,NA,NA,NA,NA,NA
"18",92,"Baseline","NE",NA,"drybeans",1974,NA,NA,NA,NA,NA
"19",95,"Baseline","NE",NA,"drybeans",1974,NA,NA,NA,NA,NA
"20",108,"Baseline","NE",NA,"drybeans",1974,NA,NA,NA,NA,NA
"21",116,"Baseline","NE",NA,"drybeans",1974,NA,NA,NA,NA,NA
"22",117,"Baseline","CO",NA,"drybeans",1974,NA,NA,NA,NA,NA
"23",118,"Baseline","ID",NA,"drybeans",1974,NA,0,0,0,1
"24",119,"Baseline","ID",NA,"peas",1974,NA,NA,NA,NA,NA
"25",121,"Baseline","CA",NA,"lettuce",1974,NA,NA,NA,NA,NA
"26",123,"Baseline","NE",NA,"drybeans",1963,NA,0,0,0,1
"27",126,"Baseline","NY",NA,"drybeans",1975,NA,NA,NA,NA,NA
"28",127,"Baseline","NY",NA,"drybeans",1975,NA,NA,NA,NA,NA
"29",128,"Baseline","NY",NA,"drybeans",1975,NA,NA,NA,NA,NA
"30",129,"Baseline","",NA,"soil",1974,NA,0,0,0,1
"31",132,"Baseline","WA",NA,"tomato",1975,NA,NA,NA,NA,NA
"32",133,"Baseline","NY",NA,"drybeans",1975,NA,NA,NA,NA,NA
"33",134,"Baseline","NY",NA,"drybeans",1975,NA,NA,NA,NA,NA
"34",135,"Baseline","NY",NA,"drybeans",1975,NA,NA,NA,NA,NA
"35",136,"Baseline","NC",NA,"alfalfa",1975,NA,NA,NA,NA,NA
"36",143,"FF","CO",NA,"soybeans",1977,NA,NA,NA,NA,NA
"37",143,"FFT","CO",NA,"soybeans",1999,NA,NA,NA,NA,NA
"38",144,"FF","AZ",NA,"lettuce",1976,NA,NA,NA,NA,NA
"39",145,"FF","NE",NA,"drybeans",1978,NA,NA,NA,NA,NA
"40",146,"FF","NE",NA,"drybeans",1979,NA,NA,NA,NA,NA
"41",147,"FF","",NA,"soybeans",1980,NA,NA,NA,NA,NA
"42",148,"FF","AZ",NA,"lettuce",1979,NA,NA,NA,NA,NA
"43",149,"FF","AZ",NA,"lettuce",1979,NA,NA,NA,NA,NA
"44",150,"FF","AZ",NA,"lettuce",1978,NA,NA,NA,NA,NA
"45",151,"FF","NE",NA,"potato",1980,NA,NA,NA,NA,NA
"46",152,"FF","NE",NA,"drybeans",1980,NA,NA,NA,NA,NA
"47",152,"FFT","NE",NA,"drybeans",1999,NA,NA,NA,NA,NA
"48",153,"FF","MT",NA,"thistle",1982,NA,NA,NA,NA,NA
"49",155,"FF","NY",NA,"drybeans",1982,NA,NA,NA,NA,NA
"50",156,"FF","WI",NA,"drybeans",1983,NA,NA,NA,NA,NA
"51",160,"FF","CA",NA,"drybeans",1983,NA,NA,NA,NA,NA
"52",161,"FF","CA",NA,"peas",1983,NA,NA,NA,NA,NA
"53",166,"FF","MT",NA,"thistle",1984,NA,NA,NA,NA,NA
"54",167,"FF","MT",NA,"spotted Knapweed",1984,NA,NA,NA,NA,NA
"55",168,"FF","MT",NA,"spotted Knapweed",1984,NA,NA,NA,NA,NA
"56",170,"FF","MT",NA,"thistle",1984,NA,NA,NA,NA,NA
"57",171,"FF","MT",NA,"spotted Knapweed",1984,NA,NA,NA,NA,NA
"58",172,"FF","MT",NA,"spotted Knapweed",1984,NA,NA,NA,NA,NA
"59",173,"FF","MT",NA,"thistle",1984,NA,NA,NA,NA,NA
"60",175,"FF","MT",NA,"spotted Knapweed",1984,NA,NA,NA,NA,NA
"61",176,"FF","MT",NA,"thistle",1984,NA,NA,NA,NA,NA
"62",177,"FF","MT",NA,"thistle",1984,NA,NA,NA,NA,NA
"63",178,"FF","MT",NA,"spotted Knapweed",1984,NA,NA,NA,NA,NA
"64",179,"FF","MT",NA,"thistle",1984,NA,NA,NA,NA,NA
"65",180,"FF","MT",NA,"spotted Knapweed",1984,NA,NA,NA,NA,NA
"66",181,"FF","MI",NA,"soybeans",1984,NA,NA,NA,NA,NA
"67",182,"FF","ON",NA,"drybeans",1984,NA,NA,NA,NA,NA
"68",183,"FF","NE",NA,"drybeans",1984,NA,NA,NA,NA,NA
"69",184,"FF","AB",NA,"drybeans",1985,NA,NA,NA,NA,NA
"70",185,"FF","NE",NA,"drybeans",1982,NA,NA,NA,NA,NA
"71",186,"FF","KS",NA,"tomato",1985,NA,NA,NA,NA,NA
"72",187,"FF","NE",NA,"soybeans",1985,NA,NA,NA,NA,NA
"73",188,"FF","NE",NA,"drybeans",1985,NA,NA,NA,NA,NA
"74",189,"FF","NE",NA,"drybeans",1985,NA,NA,NA,NA,NA
"75",190,"FF","WA",NA,"drybeans",1985,NA,NA,NA,NA,NA
"76",191,"FF","MT",NA,"thistle",1985,NA,NA,NA,NA,NA
"77",192,"FF","MT",NA,"thistle",1985,NA,NA,NA,NA,NA
"78",193,"FF","MT",NA,"spotted Knapweed",1985,NA,NA,NA,NA,NA
"79",194,"FF","MI",NA,"drybeans",1985,NA,NA,NA,NA,NA
"80",195,"FF","ON",NA,"drybeans",1985,NA,NA,NA,NA,NA
"81",198,"FF","NE",NA,"drybeans",1987,NA,NA,NA,NA,NA
"82",200,"FF","NE",NA,"drybeans",1990,NA,NA,NA,NA,NA
"83",201,"FF","ND",NA,"sunflower",1990,NA,NA,NA,NA,NA
"84",202,"FF","NE",NA,"soybeans",1990,NA,NA,NA,NA,NA
"85",205,"FF","MD",NA,"drybeans",1965,NA,NA,NA,NA,NA
"86",220,"FF","Arusha",NA,"drybeans",1989,NA,NA,NA,NA,NA
"87",221,"FF","ND",NA,"sunflower",1991,NA,NA,NA,NA,NA
"88",222,"FF","ND",NA,"sunflower",1991,NA,NA,NA,NA,NA
"89",223,"FF","NE",NA,"drybeans",1991,NA,NA,NA,NA,NA
"90",224,"FF","NE",NA,"sunflower",1991,NA,NA,NA,NA,NA
"91",225,"FF","NE",NA,"sunflower",1991,NA,NA,NA,NA,NA
"92",226,"FF","SK",NA,"lens",1991,NA,NA,NA,NA,NA
"93",227,"FF","WI",NA,"alfalfa",1991,NA,NA,NA,NA,NA
"94",228,"FF","WI",NA,"alfalfa",1991,NA,NA,NA,NA,NA
"95",229,"FF","WI",NA,"alfalfa",1991,NA,NA,NA,NA,NA
"96",230,"FF","WI",NA,"alfalfa",1991,NA,NA,NA,NA,NA
"97",231,"FF","WI",NA,"alfalfa",1991,NA,NA,NA,NA,NA
"98",233,"FF","SK",NA,"rapeseed",1991,NA,NA,NA,NA,NA
"99",234,"FF","SK",NA,"rapeseed",1991,NA,NA,NA,NA,NA
"100",235,"FF","SK",NA,"rapeseed",1991,NA,NA,NA,NA,NA
"101",239,"FF","OK",NA,"peanut",1992,NA,NA,NA,NA,NA
"102",240,"FF","NY",NA,"lettuce",1969,NA,NA,NA,NA,NA
"103",242,"FF","DF",NA,"soil",1980,NA,NA,NA,NA,NA
"104",243,"FF","",NA,"pyrethrum",1981,NA,NA,NA,NA,NA
"105",244,"FF","ON",NA,"canola",1992,NA,NA,NA,NA,NA
"106",245,"FF","",NA,"sunflower",1992,NA,NA,NA,NA,NA
"107",246,"FF","OH",NA,"alfalfa",1992,NA,NA,NA,NA,NA
"108",247,"FF","OH",NA,"alfalfa",1992,NA,NA,NA,NA,NA
"109",248,"FF","SIN",NA,"drybeans",1992,NA,NA,NA,NA,NA
"110",252,"FF","KS",NA,"sunflower",1992,NA,NA,NA,NA,NA
"111",253,"FF","KS",NA,"drybeans",1992,NA,NA,NA,NA,NA
"112",254,"FF","KS",NA,"drybeans",1992,NA,NA,NA,NA,NA
"113",255,"FF","KS",NA,"drybeans",1992,NA,NA,NA,NA,NA
"114",256,"FF","ON",NA,"lettuce",1993,NA,NA,NA,NA,NA
"115",257,"FF","OH",NA,"soybeans",1993,NA,NA,NA,NA,NA
"116",258,"FF","IA",NA,"soybeans",1993,NA,NA,NA,NA,NA
"117",259,"FF","IA",NA,"soybeans",1993,NA,NA,NA,NA,NA
"118",260,"FF","PA",NA,"alfalfa",1993,NA,NA,NA,NA,NA
"119",261,"FF","PA",NA,"alfalfa",1993,NA,NA,NA,NA,NA
"120",263,"FF","OH",NA,"alfalfa",1993,NA,NA,NA,NA,NA
"121",264,"FF","NE",NA,"soybeans",1994,NA,NA,NA,NA,NA
"122",265,"FF","NE",NA,"soybeans",1994,NA,NA,NA,NA,NA
"123",266,"FF","NE",NA,"soybeans",1994,NA,NA,NA,NA,NA
"124",267,"FF","NE",NA,"soybeans",1994,NA,NA,NA,NA,NA
"125",268,"FF","NE",NA,"soybeans",1994,NA,NA,NA,NA,NA
