ID,repeats,experimental_replicate,control-ecuatorial,control-polar,TM-ecuatorial,TM-polar
568,1,1,5.535,5.753,1.302,1.261
568,2,1,6.023,5.737,1.197,1.27
568,3,1,6.273,6.44,1.308,1.272
1058,1,1,5.324,5.34,0.916,0.96
1058,2,1,5.317,5.182,1.229,1.18
1058,3,1,5.402,5.211,1.151,1.093
1059,1,1,6.403,6.742,0.956,0.941
1059,2,1,6.975,6.354,0.943,0.832
1059,3,1,6.532,7.154,0.926,0.8
1064,1,1,5.192,5.126,0.839,0.79
1064,2,1,4.855,5.08,0.843,0.836
1064,3,1,5.213,4.946,0.859,0.911
1066,1,1,6.34,6.568,1.084,0.995
1066,2,1,6.08,6.542,1.167,1.005
1066,3,1,6.711,6.066,0.956,0.877
1070,1,1,6.274,6.222,1.455,1.507
1070,2,1,6.09,6.354,1.447,1.447
1070,3,1,5.934,6.301,1.481,1.566
1071,1,1,6.156,5.992,1.566,1.515
1071,2,1,6.798,6.898,1.372,1.348
1071,3,1,6.864,6.796,1.407,1.468
1072,1,1,6.661,6.661,1.147,1.134
1072,2,1,6.859,6.585,1.014,1.119
1072,3,1,6.663,6.506,1.373,1.44
1113,1,1,6.355,6.307,1.526,1.316
1113,2,1,5.975,6.042,1.518,1.221
1113,3,1,6.29,6.29,1.328,1.235
1115,1,1,5.874,5.924,1.258,1.125
1115,2,1,6.052,6.061,1.096,1.096
1115,3,1,5.676,5.898,0.97,0.952
1122,1,1,5.761,5.895,1.24,1.24
1122,2,1,5.866,5.866,1.231,1.284
1122,3,1,5.752,5.692,1.239,1.16
1123,1,1,6.597,6.668,1.23,1.067
1123,2,1,6.632,6.528,1.528,1.518
1123,3,1,6.772,6.829,1.321,1.149
1124,1,1,6.254,6.254,1.517,1.462
1124,2,1,6.14,6.209,1.435,1.506
1124,3,1,6.376,6.161,1.538,1.561
1126,1,1,6.469,6.671,1.103,1.103
1126,2,1,6.118,6.33,1.535,1.387
1126,3,1,6.636,6.53,1.287,1.338
1127,1,1,5.334,5.623,1.449,1.308
1127,2,1,5.87,6.135,1.453,1.453
1127,3,1,5.794,5.595,1.424,1.325
1382,1,1,6.265,5.929,1.53,1.272
1382,2,1,6.049,6.2,1.244,1.177
1382,3,1,6.143,6.04,1.285,1.455
1384,1,1,5.921,5.304,1.176,1.033
1384,2,1,4.946,4.858,0.974,1.089
1384,3,1,5.316,4.999,0.965,0.965
1385,1,1,6.138,5.905,1.184,1.268
1385,2,1,6.096,6.373,1.418,1.297
1385,3,1,5.94,6.303,1.243,1.492
1387,1,1,6.241,6.303,1.417,1.61
1387,2,1,6.437,6.689,1.57,1.606
1387,3,1,6.568,6.137,1.548,1.517
1388,1,1,6.43,6.417,1.242,1.197
1388,2,1,6.705,6.635,1.572,1.358
1388,3,1,6.636,6.607,1.724,1.624
1389,1,1,6.361,6.275,1.198,1.256
1389,2,1,6.27,6.166,1.387,1.609
1389,3,1,6.479,6.349,1.647,1.673
1390,1,1,5.743,6.087,1.687,1.601
1390,2,1,5.033,4.762,1.676,1.745
1390,3,1,5.648,5.622,1.554,1.465
1391,1,1,6.575,6.279,1.614,1.45
1391,2,1,6.596,6.694,1.684,1.624
1391,3,1,6.088,6.808,1.489,1.527
1501,1,1,5.326,5.639,1.202,1.202
1501,2,1,5.728,5.186,1.325,1.325
1501,3,1,5.664,5.427,1.385,1.398
1503,1,1,5.38,5.342,1.408,1.296
1503,2,1,5.479,5.744,1.451,1.335
1503,3,1,5.737,5.721,1.311,1.316
1506,1,1,4.938,4.715,1.147,1.082
1506,2,1,4.95,5.016,1.361,1.24
1506,3,1,4.936,5.156,1.231,1.226
1520,1,1,6.426,6.175,1.125,1.072
1520,2,1,6.248,6.212,1.05,0.954
1520,3,1,6.01,6.15,1.034,0.907
1522,1,1,5.563,5.54,1.086,1.062
1522,2,1,6.082,6.267,1.065,1.065
1522,3,1,6.338,6.243,1.171,1
1530,1,1,5.947,5.997,1.437,1.418
1530,2,1,5.783,5.738,1.414,1.541
1530,3,1,6.144,5.755,1.352,1.416
1533,1,1,5.836,5.738,1.478,1.39
1533,2,1,6.239,5.777,1.432,1.391
