ID,repeats,experimental_replicate,control-ecuatorial,control-polar,boscalid-ecuatorial,boscalid-polar
461,1,1,5.79,6.082,2.204,2.254
461,2,1,5.943,6.26,2.254,2.24
461,3,1,5.979,6.21,2.343,2.562
1884,1,1,5.861,5.605,2.525,2.434
1884,2,1,5.57,5.575,2.721,2.649
1884,3,1,5.278,5.13,2.609,2.321
1887,1,1,5.893,5.674,2.401,2.341
1887,2,1,6.45,6.315,2.656,2.57
1887,3,1,6.245,6.332,2.427,2.274
1888,1,1,6.185,6.127,1.928,1.924
1888,2,1,5.981,6.357,2.195,2.11
1888,3,1,6.252,6.276,1.96,1.892
1889,1,1,6.082,6.2,2.596,2.471
1889,2,1,5.719,5.885,2.793,2.666
1889,3,1,6.415,6.337,2.545,2.455
1890,1,1,5.305,5.404,2.573,2.437
1890,2,1,5.617,5.87,2.471,2.675
1890,3,1,5.306,5.468,2.386,2.524
1891,1,1,5.621,5.624,2.418,2.504
1891,2,1,6.114,5.976,2.577,2.52
1891,3,1,6.072,6.097,2.615,2.486
1892,1,1,5.788,5.778,1.37,1.709
1892,2,1,6.098,5.872,1.611,1.61
1892,3,1,6.424,6.215,1.55,1.714
1893,1,1,5.52,5.471,2.466,2.466
1893,2,1,5.86,5.606,2.466,2.288
1893,3,1,5.872,5.824,2.309,2.301
1894,1,1,5.959,6.359,2.341,2.275
1894,2,1,5.866,5.901,2.606,2.45
1894,3,1,6.275,5.938,2.233,2.309
1895,1,1,5.658,5.698,2.316,2.218
1895,2,1,5.935,5.838,2.492,2.339
1895,3,1,5.895,6.147,2.278,2.343
1896,1,1,6.135,5.681,2.169,2.113
1896,2,1,5.511,5.366,2.367,2.116
1896,3,1,6.368,6.323,2.224,2.159
1898,1,1,5.391,5.645,2.679,2.666
1898,2,1,5.987,5.855,2.486,2.618
1898,3,1,6.173,6.217,2.762,2.652
1899,1,1,5.629,5.315,2.534,2.495
1899,2,1,5.777,5.801,2.54,2.5
1899,3,1,5.777,5.95,2.533,2.495
1901,1,1,5.641,5.603,2.499,2.402
1901,2,1,6.334,6.387,2.508,2.591
1901,3,1,6.206,6.346,2.659,2.566
1902,1,1,5.41,5.624,5.526,2.679
1902,2,1,5.613,5.457,2.324,2.553
1902,3,1,5.938,5.955,2.505,2.562
1903,1,1,5.64,5.662,2.807,2.739
1903,2,1,6.242,6.165,2.487,2.788
1903,3,1,6.223,6.177,2.726,2.726
1904,1,1,6.02,5.936,2.515,2.352
1904,2,1,6.129,6.424,2.494,2.575
1904,3,1,6.121,6.298,2.182,2.447
1905,1,1,5.643,5.978,1.978,1.995
1905,2,1,6.412,6.165,2.315,2.222
1905,3,1,6.507,6.471,2.119,2.111
1906,1,1,5.975,5.917,2.215,2.271
1906,2,1,6.209,6.294,2.488,2.41
1906,3,1,6.056,5.968,2.246,2.265
1907,1,1,6.387,6.322,2.457,2.345
1907,2,1,6.441,6.331,2.535,2.532
1907,3,1,6.331,6.257,2.428,2.478
1920,1,1,5.777,5.777,2.379,2.191
1920,2,1,5.586,5.586,2.533,2.489
1920,3,1,6.148,6.072,2.556,2.379
1921,1,1,5.705,5.755,2.652,2.652
1921,2,1,5.628,5.556,2.823,2.828
1921,3,1,6.102,5.746,2.6,2.489
1922,1,1,5.324,5.484,2.953,2.767
1922,2,1,5.787,5.574,2.729,2.76
1922,3,1,5.775,5.991,2.733,2.598
1923,1,1,5.918,6.027,2.353,2.306
1923,2,1,5.806,5.827,2.496,2.523
1923,3,1,6.396,6.392,2.277,2.277
1924,1,1,6.167,6.147,1.605,1.671
1924,2,1,6.667,6.395,2.169,1.803
1924,3,1,6.655,6.702,1.874,1.645
1926,1,1,5.719,5.754,2.333,2.263
1926,2,1,5.915,5.892,2.641,2.664
1926,3,1,6.169,6.169,2.631,2.564
1928,1,1,6.216,6.216,2.429,2.471
1928,2,1,6.206,5.969,2.611,2.699
1928,3,1,6.226,6.487,2.459,2.445
1929,1,1,6.158,6.013,1.761,1.787
1929,2,1,6.102,6.318,2.129,1.192
1929,3,1,6.87,6.575,2.11,2.003
1930,1,1,5.236,5.302,2.231,2.154
1930,2,1,5.84,5.915,2.66,2.66
1930,3,1,6.115,6.067,2.406,2.4
1931,1,1,5.94,5.937,2.366,2.165
1931,2,1,6.227,6.206,2.606,2.54
1931,3,1,6.31,6.123,2.438,2.449
2481,1,1,6.468,6.645,2.658,2.658
2481,2,1,6.697,6.764,2.517,2.616
2481,3,1,7.098,6.728,2.709,2.641
2483,1,1,6.572,6.896,3.098,2.904
2483,2,1,6.984,7.271,2.795,2.606
2483,3,1,6.85,6.689,2.947,3.129
2484,1,1,6.349,6.41,2.546,2.702
2484,2,1,6.122,6.194,2.346,2.595
2484,3,1,6.875,6.553,2.762,2.546
2485,1,1,6.525,6.243,2.457,2.602
2485,2,1,6.843,6.615,2.644,2.437
2485,3,1,6.114,6.651,2.665,2.448
2486,1,1,6.674,6.94,2.639,2.609
2486,2,1,6.515,6.671,2.752,2.595
2486,3,1,6.848,7.069,2.743,2.624
2487,1,1,6.588,6.54,2.61,2.428
2487,2,1,6.679,6.966,2.524,2.438
2487,3,1,7.53,7.435,2.705,2.688
2488,1,1,6.539,6.644,3.108,2.939
2488,2,1,6.675,6.911,2.517,2.765
2488,3,1,6.683,6.83,2.938,2.825
2489,1,1,6.305,6.196,3.19,2.875
2489,2,1,6.69,6.63,2.935,2.819
2489,3,1,6.666,6.838,3.111,2.993
2490,1,1,6.131,6.261,2.593,2.64
2490,2,1,6.699,6.64,2.487,2.276
2490,3,1,6.866,7.164,2.693,2.573
2504,1,1,5.898,6.204,1.988,2.03
2504,2,1,6.25,6.256,2.204,2.236
2504,3,1,6.131,6.334,2.247,2.355
2505,1,1,6.814,6.72,2.208,2.208
2505,2,1,6.821,6.718,2.218,2.086
2505,3,1,6.59,6.485,2.277,2.045
2506,1,1,6.259,6.095,2.283,2.097
2506,2,1,6.145,5.957,2.411,2.252
2506,3,1,6.094,6.127,2.268,2.105
2507,1,1,5.971,5.852,2.326,2.433
2507,2,1,6.044,5.987,2.399,2.645
2507,3,1,6.253,6.344,2.293,2.065
2508,1,1,5.858,5.701,2.342,2.07
2508,2,1,6.451,6.452,2.426,2.271
2508,3,1,6.057,6,2.245,2.195
2509,1,1,6.129,6.424,2.43,2.318
2509,2,1,6.32,6.256,2.543,2.91
2509,3,1,6.97,6.475,2.631,2.508
2510,1,1,6.111,6.395,2.619,2.34
2510,2,1,6.211,6.266,2.094,2.228
2510,3,1,6.673,6.564,2.737,2.85
2511,1,1,6.705,6.674,2.674,2.65
2511,2,1,6.8,6.576,2.12,2.35
2511,3,1,6.636,6.869,2.683,2.683
2512,1,1,6.364,6.424,2.315,2.358
2512,2,1,6.097,5.992,2.242,2.325
2512,3,1,6.758,6.751,2.416,2.459
2513,1,1,6.428,6.561,2.666,2.606
2513,2,1,7.008,7.008,2.491,2.483
2513,3,1,6.656,6.769,2.715,2.779
2542,1,1,6.483,6.734,2.649,2.768
2542,2,1,7.371,6.951,2.319,2.682
