ID,repeats,experimental_replicate,control-ecuatorial,control-polar,boscalid-ecuatorial,boscalid-polar,control-ecuatorial_36hr,control-polar_36hr,boscalid-ecuatorial-36hr,boscalid-polar_36hr
568,1,1,5.222,5.442,2.226,1.901,6.563,6.866,2.513,2.415
568,2,1,5.629,5.318,2.235,2.248,6.805,7.113,2.623,2.726
568,3,1,5.756,5.32,1.881,2.219,6.859,7.358,2.562,2.278
1082,1,1,5.316,5.256,2.666,2.516,6.53,6.536,3.028,2.827
1082,2,1,4.948,5.025,2.101,2.06,6.224,6.334,2.311,2.521
1082,3,1,4.837,5.348,2.144,2.222,6.605,6.113,2.479,2.381
1084,1,1,5.205,4.612,2.329,2.412,6.093,6.598,2.775,2.796
1084,2,1,5.409,5.086,2.536,2.282,6.53,6.938,2.793,2.948
1084,3,1,5.27,5.509,2.379,2.395,6.795,7.022,3.013,2.8
1092,1,1,5.512,5.333,2.609,2.663,6.541,6.645,3.095,2.977
1092,2,1,5.994,6.203,2.383,2.727,7.599,7.263,3.171,2.92
1092,3,1,6.216,6.022,2.631,2.882,7.544,7.335,3.25,3.065
1096,1,1,5.04,5.522,2.396,2.267,6.696,6.328,2.653,2.862
1096,2,1,5.451,5.347,2.327,2.193,6.664,6.794,2.704,2.608
1096,3,1,5.277,5.002,2.285,2.428,6.261,6.607,2.834,2.626
1098,1,1,5.76,5.571,2.185,2.064,6.793,7.128,2.32,2.343
1098,2,1,5.537,5.669,2.264,2.04,6.868,6.84,2.335,2.726
1098,3,1,5.394,5.227,2.036,1.899,6.458,6.655,2.172,2.23
1099,1,1,5.541,5.05,2.289,1.92,6.415,6.707,2.275,2.651
1099,2,1,5.661,5.54,1.952,1.572,6.203,6.888,2.087,1.827
1099,3,1,5.197,5.211,2.481,1.939,6.467,6.277,2.143,2.865
1108,1,1,4.832,5.138,1.774,1.648,6.183,6.326,1.774,2.036
1108,2,1,5.354,5.168,2.112,1.764,6.642,6.487,2.112,1.764
1108,3,1,5.259,5.594,1.837,1.925,6.562,6.686,2.12,2.235
1110,1,1,6.499,6.499,2.606,2.226,7.898,8.003,2.847,2.32
1110,2,1,6.429,6.161,2.803,2.46,7.731,7.419,3.08,2.895
1110,3,1,5.828,6.091,2.504,2.326,7.133,7.532,2.667,2.891
1400,1,1,5.204,5.277,1.995,2.048,6.488,6.622,2.439,2.439
1400,2,1,5.437,5.889,2.282,1.95,6.614,6.965,2.702,2.371
1400,3,1,5.369,5.318,1.642,2.071,6.833,6.717,2.119,2.464
1403,1,1,4.57,4.254,2.063,2.229,5.561,5.188,2.508,2.286
1403,2,1,4.315,5.046,1.819,2.165,5.381,6.257,2.033,2.429
1403,3,1,4.701,3.847,2.202,2.167,4.989,5.755,2.37,2.296
1427,1,1,5.637,5.578,1.852,2.092,6.896,6.814,2.441,2.21
1427,2,1,5.519,5.633,1.949,2.208,6.725,6.696,2.444,2.089
1427,3,1,6.179,5.893,1.766,2.151,7.249,7.625,2.384,2.087
1434,1,1,5.533,5.468,2.13,1.755,6.807,6.735,2.235,2.478
1434,2,1,4.819,4.24,2.195,2.338,5.491,5.987,2.768,2.551
1434,3,1,5.323,5.037,2.192,2.053,6.363,6.682,2.526,2.601
1436,1,1,5.104,5.28,2.136,2.16,6.449,6.128,2.591,2.594
1436,2,1,5.867,5.217,2.307,2.409,6.254,6.939,2.857,2.658
1436,3,1,5.388,5.704,2.574,2.189,6.694,6.34,2.539,2.907
1443,1,1,5.41,5.31,2.596,2.313,6.863,6.907,2.85,2.912
1443,2,1,5.338,5.567,2.342,2.44,7.065,6.776,2.911,2.686
1443,3,1,4.948,5.146,2.352,2.37,6.485,6.257,2.742,2.867
1461,1,1,5.867,5.732,2.232,2.334,7.108,7.237,2.741,2.522
1461,2,1,5.313,5.92,2.383,2.42,7.329,6.88,2.708,2.694
1461,3,1,5.986,6.123,2.32,1.996,7.524,7.378,2.309,2.685
1587,1,1,4.995,4.957,2.228,2.085,6.03,5.98,2.4,2.501
1587,2,1,4.544,5.129,2.206,2.342,6.163,5.605,2.582,2.522
1587,3,1,5.55,4.886,2.168,2.235,6.072,6.742,2.618,2.478
1590,1,1,5.22,5.051,2.317,2.115,6.316,6.467,2.519,2.758
1590,2,1,5.532,5.485,2.434,2.538,6.877,6.798,2.911,2.961
1590,3,1,5.796,5.569,2.544,2.476,6.866,7.029,2.996,2.936
1593,1,1,4.883,4.99,1.701,1.986,6.52,6.266,2.246,1.82
1593,2,1,5.079,5.297,1.775,2.289,6.519,6.455,1.775,2.289
1593,3,1,5.363,5.568,1.915,1.769,6.757,6.611,2.157,2.032
1595,1,1,5.185,4.969,1.967,2.244,6.207,6.511,2.244,2.324
1595,2,1,5.013,5.295,2.096,1.917,6.633,6.334,2.415,2.208
1595,3,1,5.484,5.311,1.753,2.021,6.728,6.912,1.753,2.417
1612,1,1,5.036,5.323,2.541,2.309,,,,
1612,2,1,5.016,5.363,2.279,2.583,,,,
1612,3,1,4.873,5.002,2.454,2.356,,,,
1614,1,1,5.455,4.992,2.182,2.073,,,,
1614,2,1,5.443,5.955,2.307,2.153,,,,
1614,3,1,5.811,5.918,2.247,2.173,,,,
1618,1,1,5.544,5.384,2.304,2.292,,,,
1618,2,1,5.7,5.589,2.243,2.45,,,,
1618,3,1,5.618,6.016,2.527,2.507,,,,
568,1,2,5.338,6.238,2.213,2.367,7.762,7.39,2.67,2.585
568,2,2,5.913,5.865,2.178,2.215,7.332,7.292,2.481,2.541
568,3,2,5.927,6.058,2.406,2.56,7.546,7.498,2.929,2.751
1082,1,2,6.324,6.515,2.375,2.432,8.004,7.933,2.811,2.886
1082,2,2,5.994,6.137,2.452,2.388,7.583,7.661,2.702,2.747
1082,3,2,6.045,6.004,2.307,2.276,7.396,7.545,2.557,2.655
1084,1,2,6.285,6.485,2.031,2.053,7.975,7.801,2.491,2.464
1084,2,2,6.449,6.547,2.117,1.989,8.06,7.944,2.408,2.521
1084,3,2,6.191,6.103,2.064,2.144,7.558,7.727,2.536,2.373
1092,1,2,5.983,6.333,2.632,2.469,7.614,7.338,2.878,2.988
1092,2,2,5.332,5.571,2.571,2.231,7.001,6.922,2.621,2.986
1092,3,2,5.718,5.685,2.428,2.385,7.23,7.129,2.743,2.771
1096,1,2,5.406,5.747,1.991,2.242,7.254,6.792,2.723,2.482
1096,2,2,5.66,5.352,2.224,2.295,6.901,7.042,2.631,2.588
1096,3,2,5.258,5.072,2.158,2.213,6.461,6.71,2.504,2.544
1098,1,2,6.177,6.007,2.262,2.35,7.415,7.575,2.669,2.703
1098,2,2,6.291,6.2,2.197,2.093,7.582,8.4,2.517,2.541
1098,3,2,6.179,6.017,2.354,2.525,7.473,7.404,2.877,2.721
1099,1,2,6.314,6.329,2.382,2.36,7.576,7.779,2.692,2.697
1099,2,2,6.072,5.739,2.243,2.415,7.2,7.44,2.725,2.75
1099,3,2,5.699,5.724,2.347,2.15,7.029,6.938,2.497,2.697
1108,1,2,6.453,6.542,2.128,2.133,7.915,7.672,2.469,2.4
1108,2,2,6.31,6.297,2.104,2.161,7.717,7.844,2.559,2.419
1108,3,2,6.073,6.37,2.191,2.042,7.517,7.525,2.298,2.544
1110,1,2,5.815,6.182,2.386,2.34,7.619,7.344,2.759,2.748
1110,2,2,6.221,6.268,2.342,2.267,7.741,7.841,2.661,2.601
1110,3,2,6.191,6.058,2.14,2.063,7.56,7.662,2.481,2.569
1400,1,2,5.893,6.047,2.388,2.291,7.271,7.247,2.78,2.773
1400,2,2,6.017,5.76,2.34,2.309,7.092,7.302,2.774,2.712
1400,3,2,5.868,5.738,2.516,2.345,7.366,7.109,2.696,2.741
1403,1,2,6.043,6.075,2.436,2.656,7.342,7.217,2.949,2.857
1403,2,2,6.191,6.292,2.553,2.777,7.542,7.61,3.125,2.969
1403,3,2,6.078,5.832,2.386,2.453,7.105,7.564,2.792,2.823
1427,1,2,5.442,5.383,2,2.129,6.645,6.804,2.476,2.329
1427,2,2,6.032,5.828,2.23,2.306,7.347,7.406,2.508,2.618
1427,3,2,6.125,5.814,2.054,2.155,7.368,7.548,2.43,2.366
1434,1,2,5.864,5.877,2.309,2.287,7.15,7.347,2.718,2.688
1434,2,2,6.096,6.035,2.285,2.426,7.507,8.4,2.814,2.726
1434,3,2,5.935,6.114,2.217,2.394,7.345,8.4,2.854,2.642
1436,1,2,5.434,5.331,2.532,2.513,6.785,6.638,2.944,2.941
1436,2,2,5.123,4.756,2.601,2.384,6.038,6.541,2.801,2.989
1436,3,2,5.229,5.037,2.441,2.367,6.201,6.429,2.963,2.972
1443,1,2,5.801,5.711,2.508,2.417,7.158,7.272,2.983,2.854
1443,2,2,5.344,5.384,2.488,2.51,6.765,6.7,2.857,2.998
1443,3,2,5.49,5.793,2.435,2.593,7.173,6.906,2.958,2.854
1461,1,2,5.395,5.105,2.676,2.493,6.45,6.657,2.885,3.007
1461,2,2,5.513,6.047,2.505,2.368,7.539,7.015,2.774,3.108
1461,3,2,5.686,5.82,2.432,2.472,7.165,7.034,2.896,2.822
1587,1,2,5.979,5.655,1.987,2.042,6.93,7.146,2.43,2.25
1587,2,2,5.848,5.971,2.162,1.995,7.405,7.263,2.458,2.541
1587,3,2,5.888,5.839,2.032,2.088,6.928,7.165,2.35,2.364
1590,1,2,5.526,5.424,2.074,2.393,6.688,6.885,2.76,2.705
1590,2,2,5.659,5.548,2.538,2.486,6.649,6.848,2.868,2.863
1590,3,2,5.616,5.652,2.555,2.324,6.658,6.685,2.689,2.912
1593,1,2,5.473,5.641,2.749,2.138,6.866,6.739,2.996,2.461
1593,2,2,5.704,5.716,2.146,2.162,7.004,6.849,2.336,2.288
1593,3,2,6.182,5.529,2.235,2.601,6.953,7.268,2.858,2.65
1595,1,1,6.448,6.381,2.224,2.21,7.45,7.603,2.437,2.532
1595,2,1,6.077,6.169,2.071,2.372,7.333,7.442,2.655,2.38
1595,3,1,5.738,5.889,1.974,2.174,7.195,7.042,2.455,2.278
1612,1,2,5.127,5.332,2.399,2.35,,,,
1612,2,2,5.154,5.486,2.38,2.426,,,,
1612,3,2,5.32,5.262,2.257,2.409,,,,
1614,1,2,5.683,5.466,2.106,2.245,,,,
1614,2,2,5.327,5.407,1.948,2.185,,,,
1614,3,2,5.286,5.267,2.166,2.169,,,,
1618,1,2,5.244,5.232,2.264,2.442,,,,
1618,2,2,5.048,4.513,2.287,2.251,,,,
1618,3,2,4.57,5.254,2.243,2.063,,,,
568,1,1,6.462,6.207,2.17,2.17,,,,
568,2,1,6.299,6.056,2.115,1.985,,,,
568,3,1,6.19,5.779,2.088,2.162,,,,
1628,1,1,6.838,6.907,2.636,2.699,,,,
1628,2,1,6.626,6.65,2.479,2.498,,,,
1628,3,1,6.438,6.627,2.474,2.367,,,,
1725,1,1,5.98,6.131,2.587,2.712,,,,
1725,2,1,5.845,6.26,2.615,2.923,,,,
1725,3,1,5.844,6.043,2.86,2.794,,,,
1727,1,1,6.845,6.274,2.608,2.675,,,,
1727,2,1,6.133,6.317,2.576,2.59,,,,
1727,3,1,6.009,6.372,2.685,2.689,,,,
1732,1,1,6.491,6.117,1.97,1.898,,,,
1732,2,1,5.899,6.478,2.056,1.974,,,,
1732,3,1,6.251,6.054,2.105,2.024,,,,
1747,1,1,6.539,6.53,2.212,2.083,,,,
1747,2,1,6.8,6.523,2.086,2.194,,,,
1747,3,1,6.926,6.668,2.083,2.035,,,,
1767,1,1,5.777,5.943,2.438,2.256,,,,
1767,2,1,5.013,5.476,2.477,2.508,,,,
1767,3,1,5.79,5.491,2.084,2.458,,,,
1771,1,1,6.469,6.742,2.539,2.497,,,,
1771,2,1,6.87,7.025,2.773,2.63,,,,
1771,3,1,6.449,6.445,2.445,2.558,,,,
1793,1,1,6.101,6.578,2.102,2.486,,,,
1793,2,1,6.358,6.069,2.339,2.111,,,,
1793,3,1,6.035,5.869,2.357,2.352,,,,
2293,1,1,6.454,6.348,2.39,2.569,,,,
2293,2,1,6.333,6.279,2.414,2.021,,,,
2293,3,1,5.277,6.108,2.338,2.268,,,,
2294,1,1,6.853,7.223,2.768,2.705,,,,
2294,2,1,6.576,6.55,2.414,2.808,,,,
2294,3,1,6.545,6.879,2.67,2.577,,,,
2295,1,1,6.352,5.806,2.29,2.091,,,,
2295,2,1,5.663,5.947,2.456,2.299,,,,
2295,3,1,5.761,5.991,2.17,2.321,,,,
2296,1,1,6.908,7.058,2.308,2.511,,,,
2296,2,1,6.424,6.2,2.424,2.32,,,,
2296,3,1,6.646,6.673,2.456,2.538,,,,
2297,1,1,6.351,6.522,2.312,2.396,,,,
2297,2,1,6.516,6.492,2.135,2.34,,,,
2297,3,1,6.395,6.271,2.272,2.255,,,,
2298,1,1,6.786,6.242,2.127,2.442,,,,
2298,2,1,6.88,6.321,2.373,2.191,,,,
2298,3,1,6.394,6.134,2.368,2.43,,,,
2299,1,1,5.975,6.044,2.103,2.704,,,,
2299,2,1,6.587,6.767,2.298,2.383,,,,
2299,3,1,6.648,6.349,2.41,2.311,,,,
2301,1,1,6.377,6.426,2.659,2.446,,,,
2301,2,1,6.737,6.781,2.563,2.294,,,,
2301,3,1,6.282,6.292,2.551,2.563,,,,
2302,1,1,6.537,6.493,2.548,2.373,,,,
2302,2,1,6.516,6.768,2.34,2.48,,,,
2302,3,1,6.992,7.032,2.536,2.503,,,,
2385,1,1,5.707,6.073,1.613,1.879,,,,
2385,2,1,6.387,5.994,1.789,1.856,,,,
2385,3,1,5.197,5.013,1.813,1.886,,,,
2570,1,1,5.427,5.709,2.373,2.176,,,,
2570,2,1,5.862,5.453,2.49,2.473,,,,
2570,3,1,5.292,5.255,2.516,2.438,,,,
2571,1,1,5.77,5.364,1.635,1.684,,,,
2571,2,1,5.296,5.352,1.98,1.82,,,,
2571,3,1,5.588,5.377,1.838,1.804,,,,
2572,1,1,6.347,6.19,2.346,2.485,,,,
2572,2,1,6.187,5.922,2.469,2.334,,,,
2572,3,1,6.032,6.021,2.18,2.217,,,,
2573,1,1,6.201,6.49,2.08,2.146,,,,
2573,2,1,6.128,6.136,2.165,2.105,,,,
