ID,repeats,experimental_replicate,sham.ecuatorial,sham.polar,picoxystrobin.ecuatorial,picoxystrobin.polar
461,1,1,4.964,4.449,3.326,3.431
461,2,1,4.865,4.98,3.179,3.219
461,3,1,5.104,5.019,3.51,3.371
1884,1,1,4.347,4.339,3.42,3.471
1884,2,1,4.503,4.635,3.424,3.281
1884,3,1,4.169,4.224,3.397,3.388
1887,1,1,4.705,4.702,3.35,3.68
1887,2,1,4.387,4.466,3.439,3.489
1887,3,1,4.404,4.237,3.578,3.55
1888,1,1,5.2,5.102,3.598,3.708
1888,2,1,5.015,4.893,3.527,3.548
1888,3,1,5.115,5.11,3.373,3.401
1889,1,1,5.002,4.945,3.503,3.525
1889,2,1,4.764,4.804,3.408,3.439
1889,3,1,5.425,5.288,3.396,3.428
1890,1,1,4.39,4.39,3.329,3.19
1890,2,1,4.417,4.48,3.29,3.135
1890,3,1,4.303,4.398,3.382,3.377
1891,1,1,4.778,4.808,2.886,3.07
1891,2,1,4.915,5.06,3.077,3.087
1891,3,1,4.702,4.707,3.08,3.055
1892,1,1,4.686,4.846,3.435,3.138
1892,2,1,4.99,4.976,3.161,3.161
1892,3,1,4.742,4.747,3.17,3.236
1893,1,1,4.552,4.482,3.228,3.046
1893,2,1,4.695,4.597,2.963,2.859
1893,3,1,4.729,4.514,3.363,3.256
1894,1,1,5.285,5.411,3.299,3.466
1894,2,1,5.073,5.176,3.746,3.568
1894,3,1,5.174,5.174,3.57,3.46
1895,1,1,4.549,4.549,3.319,3.532
1895,2,1,4.591,4.55,3.107,3.241
1895,3,1,4.573,4.518,3.12,3.377
1896,1,1,5.17,5.381,3.17,2.983
1896,2,1,5.371,5.161,3.292,3.223
1896,3,1,5.289,5.105,3.237,3.277
1898,1,1,4.859,4.859,3.26,3.26
1898,2,1,4.898,4.81,3.264,3.16
1898,3,1,4.669,4.405,3.27,3.163
1899,1,1,4.814,4.715,3.437,3.345
1899,2,1,4.824,4.739,3.443,3.372
1899,3,1,5.026,4.723,3.1,3.317
1901,1,1,4.815,4.733,3.17,3.17
1901,2,1,5.231,5.06,3.265,3.265
1901,3,1,5.112,4.997,3.054,3.186
1902,1,1,4.672,4.879,3.338,3.176
1902,2,1,4.837,4.837,3.076,2.9
1902,3,1,4.741,5.101,3.176,3.068
1903,1,1,4.476,4.622,3.376,2.946
1903,2,1,4.43,4.705,3.065,3.111
1903,3,1,4.705,4.607,2.838,2.872
1904,1,1,4.973,5.04,3.254,3.17
1904,2,1,4.807,5.02,3.11,3.114
1904,3,1,4.931,4.802,2.901,2.923
1905,1,1,5.007,5.047,3.352,3.179
1905,2,1,5.321,5.218,3.253,3.253
1905,3,1,5.218,5.1,3.186,3.337
1906,1,1,5,4.906,3.214,3.214
1906,2,1,4.67,4.757,3.256,3.276
