ID,repeats,experimental_replicate,sham-ecuatorial,sham-polar,picoxystrobin-ecuatorial,picoxystrobin-polar
568,1,1,7.336,7.377,4.774,4.792
568,2,1,7.57,7.586,4.789,4.933
568,3,1,7.626,7.712,4.721,4.617
1136,1,1,5.693,5.612,4.458,4.06
1136,2,1,5.633,5.941,4.036,3.891
1136,3,1,5.683,5.842,4.364,4.388
1145,1,1,7.059,7.463,5.3,5.338
1145,2,1,7.34,7.295,4.922,4.658
1145,3,1,7.452,7.559,5.032,4.878
1146,1,1,6.702,6.64,4.618,4.945
1146,2,1,6.591,6.63,4.445,4.377
1146,3,1,6.71,6.585,4.657,4.669
1150,1,1,6.842,6.975,4.794,4.545
1150,2,1,6.753,6.719,4.879,4.674
1150,3,1,6.879,6.829,5.032,4.882
1195,1,1,5.703,6.03,3.994,4.114
1195,2,1,6.063,6.148,4.302,3.893
1195,3,1,5.811,5.931,4.089,4.2
1349,1,1,5.966,6.322,4.334,4.275
1349,2,1,5.743,5.634,4.388,4.439
1349,3,1,6.307,6.249,4.084,4.465
1379,1,1,7.491,7.601,4.486,4.372
1379,2,1,7.503,7.453,4.397,4.744
1379,3,1,7.67,7.569,4.732,4.544
1401,1,1,7.751,7.631,4.771,5.164
1401,2,1,8.077,7.674,4.471,4.358
1401,3,1,8.098,8.001,4.807,4.898
1423,1,1,7.898,8.016,5.097,4.988
1423,2,1,7.898,7.958,4.813,5.032
1423,3,1,7.929,7.898,4.894,4.805
1446,1,1,7.757,7.658,4.927,5.015
1446,2,1,8.113,8.4,4.925,4.923
1446,3,1,8.052,8.106,5.038,5.075
1451,1,1,5.846,5.914,3.247,3.369
1451,2,1,5.971,6.114,3.209,3.156
1451,3,1,5.862,5.872,2.27,2.205
1487,1,1,7.139,7.389,4.675,4.713
1487,2,1,7.756,7.558,5.045,5.128
1487,3,1,7.474,7.495,4.734,4.686
1633,1,1,6.321,6.51,4.514,4.812
1633,2,1,6.504,6.331,4.659,4.712
1633,3,1,5.996,6.221,4.159,4.238
1634,1,1,7.537,7.556,4.833,4.934
1634,2,1,7.461,7.406,4.577,4.619
1634,3,1,7.579,7.512,4.964,4.776
1639,1,1,7.357,7.38,4.051,4.004
1639,2,1,6.766,7.147,4.525,4.682
1639,3,1,6.601,6.681,4.231,4.348
1643,1,1,7.701,7.649,4.963,4.937
1643,2,1,7.677,7.735,5.089,5.156
1643,3,1,7.655,7.403,5.175,5.064
1644,1,1,7.08,7.124,4.93,4.743
1644,2,1,7.047,7.211,4.88,4.961
1644,3,1,4.041,7.202,4.528,4.745
1652,1,1,5.75,5.863,4.061,4.032
1652,2,1,6.046,5.861,4.085,4.24
1652,3,1,6.377,6.21,3.752,4.185
1653,1,1,8.158,8.4,5.038,5.035
1653,2,1,8.042,7.963,5.27,5.338
1653,3,1,8.135,8.131,5.066,5.012
1656,1,1,7.139,7.142,4.677,4.871
1656,2,1,7.146,7.26,4.828,4.671
1656,3,1,6.939,6.989,4.468,4.613
1660,1,1,7.192,7.342,4.569,4.194
1660,2,1,7.216,7.151,4.191,4.408
1660,3,1,7.249,7.306,4.439,4.258
568,1,2,7.663,7.602,4.738,4.945
568,2,2,7.691,7.932,5.146,4.968
568,3,2,7.263,7.402,3.142,3.107
1136,1,2,6.75,7.02,4.28,4.646
1136,2,2,6.605,6.566,2.363,2.736
1136,3,2,6.91,7.065,4.552,4.678
1145,1,2,7.649,7.791,5.405,5.422
1145,2,2,8.059,8.4,2.966,2.924
1145,3,2,8.048,8.4,5.271,5.147
1146,1,2,8.039,8.4,5.342,5.367
1146,2,2,8.106,8.4,3.085,3.189
1146,3,2,8.12,7.99,5.026,5.109
1150,1,2,7.74,7.676,4.663,4.719
1150,2,2,7.789,7.74,1.974,1.823
1150,3,2,7.981,8.4,4.832,4.879
1195,1,2,7.756,7.703,4.867,4.839
1195,2,2,7.772,7.565,4.971,4.808
1195,3,2,7.818,7.746,2.751,2.806
1349,1,2,7.891,7.738,4.532,4.402
1349,2,2,7.732,7.919,3.113,2.972
1349,3,2,7.878,7.559,4.996,4.938
1379,1,2,7.94,7.896,2.396,2.501
1379,2,2,7.909,8.4,4.757,4.968
1379,3,2,7.971,7.775,4.673,4.623
1401,1,2,7.547,7.724,4.941,4.887
1401,2,2,7.677,7.963,2.518,2.109
1401,3,2,7.724,7.861,4.233,4.583
1423,1,2,8.124,8.171,4.808,5.028
1423,2,2,8.016,7.878,2.8,2.585
1423,3,2,8.017,8.4,5.075,5.032
1446,1,2,7.384,7.609,2.44,2.632
1446,2,2,7.838,7.577,5.02,4.92
1446,3,2,7.826,7.615,5.124,5.087
1451,1,2,6.3,6.083,3.296,3.503
1451,2,2,6.283,6.159,3.598,3.662
1451,3,2,6.258,6.191,1.523,1.566
1487,1,2,7.72,7.757,5.241,5.049
1487,2,2,7.952,8.027,4.884,5.06
1487,3,2,8.047,8.057,2.904,2.896
1633,1,2,7.389,7.417,3.114,3.016
1633,2,2,7.183,7.275,5.07,5.034
1633,3,2,7.348,7.449,4.792,4.972
1634,1,2,8.012,8.036,5.336,5.3
1634,2,2,7.958,7.86,5.132,5.112
1634,3,2,8.086,8.4,2.796,2.722
1639,1,2,7.538,7.591,4.4,4.598
1639,2,2,7.935,7.959,4.844,4.903
1639,3,2,8.104,8.4,2.808,2.895
1643,1,2,7.567,7.835,5.301,5.314
1643,2,2,7.723,7.549,5.233,5.349
1643,3,2,7.326,7.811,2.466,2.399
1644,1,2,7.299,7.377,4.741,5.116
1644,2,2,7.282,7.462,2.806,2.548
1644,3,2,7.665,7.37,5.27,5.328
1652,1,2,7.581,7.489,5.107,5.025
1652,2,2,7.443,7.689,5.497,5.459
1652,3,2,7.455,7.63,2.655,2.515
1653,1,2,7.977,7.918,2.083,2.373
1653,2,2,8.019,8.4,5.136,5.103
1653,3,2,8.4,8.4,5.237,5.3
1656,1,1,7.592,7.521,2.552,2.288
1656,2,1,7.422,7.33,4.838,4.765
1656,3,1,7.429,7.477,5.137,5.195
1660,1,2,7.634,7.722,4.917,4.83
1660,2,2,7.626,7.584,3.375,3.186
1660,3,2,7.428,7.268,4.895,4.652
568,1,1,7.19,6.902,4.809,4.73
568,2,1,7.134,7.256,4.023,4.224
568,3,1,7.509,7.296,4.055,4.04
1140,1,1,7.088,7.063,4.406,4.178
1140,2,1,7.464,7.208,4.671,4.852
1140,3,1,7.058,7.23,4.776,4.967
1163,1,1,7.358,7.39,4.991,5.122
1163,2,1,7.599,7.422,4.931,5.027
1163,3,1,7.345,7.36,4.863,4.766
1167,1,1,7.537,7.735,4.591,4.635
1167,2,1,7.475,7.456,4.142,4.296
1167,3,1,6.609,6.579,4.733,4.8
1720,1,1,6.971,7.067,4.873,4.835
1720,2,1,7.469,7.557,4.773,4.892
1720,3,1,7.486,7.508,4.601,4.751
1736,1,1,7.314,7.066,4.991,4.841
1736,2,1,7.196,7.266,4.694,4.62
1736,3,1,7.408,7.661,4.911,4.801
1738,1,1,7.476,7.331,5.115,4.799
1738,2,1,7.339,7.503,4.779,4.646
1738,3,1,7.079,6.924,4.402,5.058
1759,1,1,7.451,7.571,4.527,4.567
1759,2,1,7.464,7.38,4.341,4.369
1759,3,1,7.043,6.893,4.022,4.121
1767,1,1,7.483,7.686,5.047,5.116
1767,2,1,8.003,7.868,4.625,4.54
1767,3,1,7.624,7.872,4.808,4.922
1807,1,1,7.295,6.958,4.621,4.536
1807,2,1,6.928,7.234,4.585,4.628
1807,3,1,7.718,7.465,4.377,4.66
2251,1,1,6.717,6.867,4.793,4.864
2251,2,1,6.43,6.316,3.763,3.628
2251,3,1,6.242,6.33,4.256,4.194
2258,1,1,7.083,6.879,4.893,4.681
2258,2,1,6.495,6.725,4.441,4.445
2258,3,1,5.722,5.775,4.321,4.474
2261,1,1,6.361,6.59,3.553,4.036
2261,2,1,7.07,6.854,3.917,3.988
2261,3,1,6.798,6.535,3.283,3.221
2265,1,1,7.067,7.289,3.649,3.492
2265,2,1,7.376,7.508,3.759,3.603
2265,3,1,7.088,6.997,4.184,4.483
2266,1,1,7.03,7.103,5.015,4.647
2266,2,1,7.14,7.362,4.528,4.743
2266,3,1,5.605,6.004,4.294,4.567
2274,1,1,5.862,5.577,3.184,3.101
2274,2,1,4.341,4.389,3.866,3.431
2274,3,1,4.761,5.067,3.671,3.353
2277,1,1,5.952,5.969,4.572,4.078
2277,2,1,5.625,5.637,3.508,3.331
2277,3,1,6.882,6.919,3.301,3.095
2278,1,1,4.843,5.224,3.785,3.855
2278,2,1,4.65,4.618,3.37,3.214
2278,3,1,4.988,4.839,2.511,3.272
2281,1,1,7.049,6.958,4.057,3.936
2281,2,1,7.584,7.1,3.714,3.613
2281,3,1,7.275,7.143,3.055,3.01
2289,1,1,5.888,5.633,3.806,3.909
2289,2,1,6.432,6.288,4.3,4.157
2289,3,1,6.452,6.311,4.103,3.927
2409,1,1,6.96,7.157,3.807,4
2409,2,1,6.515,6.207,5.036,4.652
2409,3,1,6.731,6.136,4.572,4.341
2410,1,1,7.284,7.416,4.511,4.431
2410,2,1,7.048,6.76,4.495,4.209
2410,3,1,6.993,7.04,4.284,4.226
2411,1,1,7.204,6.936,4.22,4.259
2411,2,1,7.098,6.768,4.262,4.328
2411,3,1,6.456,6.489,3.97,3.777
2412,1,1,7.615,7.404,4.209,3.852
2412,2,1,6.883,7.246,4.001,3.619
2412,3,1,6.811,6.461,3.788,3.893
2413,1,1,6.413,6.483,3.065,3.579
2413,2,1,6.395,6.295,3.673,3.56
2413,3,1,5.843,5.519,2.905,3.237
2414,1,1,6.724,6.798,4.005,4.252
2414,2,1,7.322,7.144,4.678,4.497
2414,3,1,6.834,7.259,3.097,3.324
2415,1,1,6.565,6.412,4.31,4.1
2415,2,1,6.952,6.983,3.81,3.785
2415,3,1,5.945,6.189,3.62,3.688
2416,1,1,6.689,7.206,4.447,4.276
2416,2,1,7.289,7.21,3.643,3.689
2416,3,1,7.157,7.202,3.975,3.784
2570,1,1,6.632,6.752,4.044,3.802
2570,2,1,6.115,5.945,3.809,3.984
2570,3,1,5.589,5.522,4.147,4.082
2571,1,1,5.876,5.908,3.084,2.968
2571,2,1,5.42,5.529,2.75,2.642
2571,3,1,5.329,5.178,2.788,2.637
2572,1,1,7.339,7.268,4.517,4.487
2572,2,1,6.909,6.749,4.319,4.398
2572,3,1,6.988,6.994,4.503,4.377
2573,1,1,6.712,6.449,4.233,4.149
2573,2,1,6.906,6.91,3.923,3.941
2573,3,1,6.631,6.665,4.175,4.258
568,1,2,6.931,6.903,4.047,4.193
568,2,2,6.72,6.946,4.032,4.261
568,3,2,6.991,6.84,4.398,4.326
1140,1,2,7.403,7.568,4.45,4.775
1140,2,2,7.79,7.757,4.652,4.879
1140,3,2,7.646,7.655,4.282,4.279
1163,1,2,6.977,7.015,4.421,4.562
1163,2,2,6.961,6.964,4.705,4.275
1163,3,2,6.878,7.167,4.243,4.048
1167,1,2,7.732,7.732,5.211,5.071
1167,2,2,7.632,7.551,5.029,4.914
1167,3,2,7.895,7.753,4.82,5.006
1720,1,2,7.893,7.817,4.691,4.736
1720,2,2,7.852,7.929,4.771,4.818
1720,3,2,7.871,7.949,4.11,4.06
1736,1,2,7.818,7.69,4.987,4.732
1736,2,2,7.426,7.556,4.907,4.836
1736,3,2,7.896,7.608,4.572,4.858
1738,1,2,7.06,7.329,4.86,4.993
1738,2,2,7.365,7.261,4.766,4.869
1738,3,2,7.412,7.309,4.471,4.723
1759,1,2,6.977,7.158,3.879,4.193
1759,2,2,6.84,7.286,4.563,4.109
1759,3,2,6.827,7.19,4.607,4.304
1767,1,2,7.681,7.704,4.579,4.459
1767,2,2,7.674,7.729,4.437,4.637
1767,3,2,7.238,7.339,4.147,3.867
1807,1,2,7.578,7.879,4.567,4.715
1807,2,2,7.577,7.827,4.472,4.73
1807,3,2,7.428,7.76,4.579,4.692
2251,1,2,7.824,7.563,5.228,5.392
2251,2,2,7.847,7.922,5.233,5.328
2251,3,2,7.741,7.781,5.1,5.237
2258,1,2,6.451,6.665,4.692,4.507
2258,2,2,6.543,6.67,4.594,4.42
2258,3,2,6.543,6.744,4.418,4.536
2261,1,2,7.572,7.614,4.784,4.765
2261,2,2,7.206,7.414,4.732,4.928
2261,3,2,7.151,7.291,4.591,4.773
2265,1,2,7.814,7.975,4.845,5.013
2265,2,2,7.398,7.33,4.707,5.004
2265,3,2,7.702,7.474,4.888,4.813
2266,1,2,6.84,6.442,3.946,3.996
2266,2,2,6.926,6.675,4.112,3.856
2266,3,2,6.309,6.004,3.845,3.581
2274,1,2,4.57,4.413,3.283,2.933
2274,2,2,3.938,3.942,3.259,3.335
2274,3,2,3.956,4.171,3.001,2.654
2277,1,2,7.998,8.064,4.727,4.448
2277,2,2,7.781,7.917,4.997,4.627
2277,3,2,7.632,7.547,4.392,4.765
2278,1,2,7.503,7.272,4.192,4.183
2278,2,2,6.907,6.661,4.922,4.791
2278,3,2,7.994,7.559,4.258,4.11
2281,1,2,7.618,7.45,4.656,5.029
2281,2,2,7.595,7.743,4.858,4.738
2281,3,2,7.586,7.356,4.305,4.023
2289,1,2,6.431,6.672,4.301,4.215
2289,2,2,5.577,5.567,4.519,4.583
2289,3,2,6.281,6.724,4.494,4.312
2409,1,2,7.17,7.041,4.689,4.435
2409,2,2,7.24,6.996,4.41,4.556
2409,3,2,7.089,6.926,4.392,4.511
2410,1,2,7.58,7.508,5.024,4.856
2410,2,2,7.892,8.019,4.588,4.684
2410,3,2,7.682,7.674,5.07,4.695
2411,1,2,7.748,7.982,4.864,4.933
2411,2,2,8.06,7.911,5.109,4.998
2411,3,2,8.146,8.147,4.821,4.69
2412,1,2,7.159,7.206,4.257,4.345
2412,2,2,6.563,6.755,3.69,3.938
2412,3,2,6.97,7.214,4.04,4.2
2413,1,2,7.959,8.115,4.603,4.721
2413,2,2,7.888,7.937,4.942,4.983
2413,3,2,7.821,7.773,4.848,4.805
2414,1,2,7.5,7.783,4.781,4.934
2414,2,2,7.831,7.717,4.93,4.922
2414,3,2,7.78,7.866,4.421,4.234
2415,1,2,7.246,6.801,3.886,4.033
2415,2,2,6.738,6.575,3.681,3.791
2415,3,2,6.806,6.871,3.964,3.813
2416,1,2,6.922,7.028,4.647,4.805
2416,2,2,7.003,7.223,4.053,4.44
2416,3,2,7.637,7.623,3.942,3.658
2570,1,2,7.47,7.411,4.648,4.592
2570,2,2,7.465,7.43,4.37,4.219
2570,3,2,7.682,7.615,4.628,4.378
2571,1,2,7.028,6.909,4.222,4.154
2571,2,2,6.812,6.55,4.078,3.857
2571,3,2,7.032,7.037,4.257,3.995
2572,1,2,7.82,7.781,4.775,4.677
2572,2,2,7.226,7.635,4.892,5.014
2572,3,2,8.201,7.939,4.791,4.884
2573,1,2,8.4,8.241,4.279,4.401
2573,2,2,7.664,7.907,4.582,4.427
2573,3,2,7.936,7.66,4.588,4.333
