ID,repeats,experimental_replicate,control.ecuatorial,control.polar,tetraconazole.ecuatorial,tetraconazole.polar
461,1,1,5.506,5.647,2.236,2.305
461,2,1,5.704,5.745,2.311,2.209
461,3,1,5.709,5.74,2.281,2.276
1884,1,1,4.906,4.633,2.151,2.161
1884,2,1,5.026,4.914,2.175,2.21
1884,3,1,5.032,5.139,1.665,1.725
1887,1,1,6.098,5.928,2.098,2.183
1887,2,1,5.805,5.805,2.159,2.121
1887,3,1,5.928,5.963,2.01,2.276
1888,1,1,5.515,5.415,2.277,2.155
1888,2,1,5.722,5.698,2.352,2.3
1888,3,1,5.709,5.628,2.255,2.38
1889,1,1,5.166,5.365,1.383,1.433
1889,2,1,5.394,5.499,1.437,1.393
1889,3,1,5.245,5.134,1.507,1.601
1890,1,1,5.242,5.478,2.236,2.236
1890,2,1,5.302,4.843,2.274,2.346
1890,3,1,5.282,4.995,2.421,2.39
1891,1,1,5.574,5.788,2.086,2.273
1891,2,1,5.602,5.644,2.297,2.449
1891,3,1,5.401,5.795,2.216,2.215
1892,1,1,5.752,5.336,2.121,2.121
1892,2,1,5.249,5.277,1.892,1.892
1892,3,1,5.501,5.393,2.034,2.121
1893,1,1,5.297,5.093,1.478,1.37
1893,2,1,5.212,5.111,1.315,1.427
1893,3,1,5.326,5.416,1.613,1.454
1894,1,1,5.853,5.576,1.844,1.89
1894,2,1,5.858,5.916,2.289,2.042
1894,3,1,5.588,5.693,1.963,1.958
1895,1,1,5.165,5.157,1.192,1.237
1895,2,1,5.157,4.958,1.075,1.263
1895,3,1,5.031,4.858,1.324,1.324
1896,1,1,5.773,5.824,2.27,2.27
1896,2,1,5.563,5.731,2.284,2.284
1896,3,1,5.752,5.957,2.34,2.18
1898,1,1,5.582,5.417,1.191,1.11
1898,2,1,5.141,4.953,1.496,1.39
1898,3,1,5.144,4.968,1.404,1.34
1899,1,1,5.263,5.263,1.35,1.293
1899,2,1,4.981,4.769,1.518,1.431
1899,3,1,4.803,4.863,1.518,1.495
1901,1,1,5.651,5.462,1.727,1.676
1901,2,1,6.146,5.887,1.592,1.638
1901,3,1,5.759,5.521,1.53,1.364
1902,1,1,5.831,5.909,1.992,1.785
1902,2,1,5.821,5.578,1.712,1.58
1902,3,1,5.769,5.863,1.734,1.594
1903,1,1,5.503,5.59,1.789,1.749
1903,2,1,5.984,5.906,1.891,1.791
1903,3,1,5.586,5.588,1.98,1.513
1904,1,1,5.391,5.452,1.467,1.467
1904,2,1,5.582,5.582,1.23,1.23
1904,3,1,5.655,5.395,1.206,1.088
1905,1,1,5.472,5.676,2.37,2.256
1905,2,1,5.758,5.738,2.32,2.32
1905,3,1,5.707,5.784,2.256,1.574
1906,1,1,5.53,5.762,1.578,1.432
1906,2,1,5.322,5.496,1.441,1.436
1906,3,1,5.718,5.647,1.472,1.444
1907,1,1,5.674,5.424,1.56,1.504
1907,2,1,5.451,5.609,1.214,1.138
1907,3,1,5.573,5.398,1.36,1.36
1920,1,1,5.156,5.366,1.375,1.259
1920,2,1,5.275,5.571,1.044,1.014
1920,3,1,5.309,5.1,1.301,1.299
1921,1,1,5.855,5.619,2.18,2.14
1921,2,1,5.334,5.383,2.011,1.812
1921,3,1,5.519,5.285,1.795,1.731
1922,1,1,5.498,5.47,2.026,1.75
1922,2,1,5.39,5.4,2.314,2.116
1922,3,1,5.512,5.633,2.04,2.039
1923,1,1,5.305,5.38,1.42,1.312
1923,2,1,4.988,5.465,1.201,0.84
1923,3,1,5.465,5.637,1.339,1.114
1924,1,1,5.6,5.609,2.306,2.306
1924,2,1,5.623,5.427,2.283,2.283
1924,3,1,5.64,5.73,2.252,2.117
1926,1,1,5.288,5.415,1.117,1.032
1926,2,1,5.398,5.483,1.365,1.365
1926,3,1,5.559,5.602,1.757,1.532
1928,1,1,5.247,5.401,1.755,1.673
1928,2,1,5.334,5.73,1.975,1.614
1928,3,1,5.783,5.451,1.941,1.559
1929,1,1,5.552,5.563,2.217,1.924
1929,2,1,5.683,5.829,2.305,2.414
1929,3,1,5.674,5.636,2.427,2.306
1930,1,1,4.99,4.968,1.355,1.273
1930,2,1,4.688,4.822,1.376,1.34
1930,3,1,5.001,5.106,1.35,1.35
1931,1,1,5.077,5.031,1.482,1.375
1931,2,1,4.93,4.87,1.327,1.39
1931,3,1,5.068,4.992,1.356,1.356
2481,1,1,5.742,5.967,2.773,2.589
2481,2,1,5.945,6.043,2.83,2.37
2481,3,1,6.291,6.114,2.595,2.443
2483,1,1,5.648,5.901,2.54,2.388
2483,2,1,5.96,5.928,2.55,2.474
2483,3,1,6.008,6.006,2.532,2.183
2484,1,1,6.399,6.095,2.536,2.521
2484,2,1,5.929,6.011,2.405,2.444
2484,3,1,6.293,6.026,2.28,1.832
2485,1,1,5.987,5.744,2.394,2.151
2485,2,1,6.217,6.187,2.515,2.439
