ID,repeats,experimental_replicate,control-ecuatorial,control-polar,tetraconazole-ecuatorial,tetraconazole-polar
568,1,1,5.225,5.224,1.867,2.145
568,2,1,5.675,5.582,2.179,2.212
568,3,1,5.747,5.668,2.261,2.216
1842,1,1,4.61,4.682,1.164,1.059
1842,2,1,4.862,4.948,0.919,1.115
1842,3,1,5.212,4.952,0.801,0.829
1843,1,1,4.731,5.303,1.137,0.821
1843,2,1,5.001,4.945,0.842,1.057
1843,3,1,4.938,4.88,1.19,1.092
1845,1,1,4.301,4.481,1,0.852
1845,2,1,4.237,4.397,1.025,7.89
1845,3,1,4.672,4.171,0.908,0.86
2027,1,1,5.655,5.924,2.463,2.161
2027,2,1,5.818,5.728,2.542,2.559
2027,3,1,6.036,6.194,2.617,2.521
2030,1,1,6.175,6.42,2.197,2.4
2030,2,1,6.126,5.621,2.746,2.543
2030,3,1,6.084,5.588,2.39,2.377
2031,1,1,5.68,5.278,2.384,2.587
2031,2,1,5.985,6.046,2.407,2.342
2031,3,1,6.098,5.979,2.389,2.604
2033,1,1,5.922,5.846,2.116,2.179
2033,2,1,5.968,5.831,2.368,2.253
2033,3,1,6.009,5.966,2.513,2.21
2035,1,1,5.439,4.96,2.222,2.152
2035,2,1,5.133,4.377,2.377,2.464
2035,3,1,4.528,3.844,2.26,2.125
2036,1,1,5.433,5.388,1.879,1.984
2036,2,1,5.681,5.531,1.91,2.009
2036,3,1,5.218,5.251,2.162,2.291
2108,1,1,5.105,5.068,2.123,2.201
2108,2,1,6.06,5.507,2.07,1.978
2108,3,1,5.036,5.22,1.885,1.831
2109,1,1,5.643,5.722,2.257,2.214
2109,2,1,5.623,5.94,2.146,2.349
2109,3,1,5.568,5.475,1.995,1.897
2111,1,1,5.364,5.199,2.109,1.973
2111,2,1,5.407,4.924,2.062,1.952
2111,3,1,4.207,4.474,1.878,1.66
2112,1,1,5.85,5.612,2.282,2.493
2112,2,1,5.549,5.163,2.063,2.277
2112,3,1,5.918,5.632,1.849,2.171
2113,1,1,4.787,4.824,1.771,1.526
2113,2,1,4.343,4.236,2.222,2.07
