Field,Year,County,Notes,Special Notes,State,ID
WM_production_1,2007,Red River Valley,SI Production Field 2007 (see sp notes) F1 #3,SI 2007 production field Isolates from North Dakota- Red River Valley  collected by Lindsey Otto-Hanson 8-30-2007: 700- Field 1 Sample 3 South end South of shelterbelt,ND,700
WM_production_1,2007,Red River Valley,SI Production Field 2007 (see sp notes) F1 #4a,701- Field 1 Sample 4a Northwood,ND,701
WM_production_1,2007,Red River Valley,SI Production Field 2007 (see sp notes) F1 #4b,702- Field 1 Sample 4b N 47.74482o W 097.6022o NW corner 5th Ave NE / 36th St. NE,ND,702
WM_production_1,2007,Red River Valley,SI Production Field 2007 (see sp notes) F1 #4c,703- Field 1 Sample 4c,ND,703
WM_production_1,2007,Red River Valley,SI Production Field 2007 (see sp notes) F1 #4d,704 Field 1 Sample 4d,ND,704
WM_production_1,2007,Red River Valley,SI Production Field 2007 (see sp notes) F1 #4e,705- Field 1 Sample 4e,ND,705
WM_production_1,2007,Red River Valley,SI Production Field 2007 (see sp notes) F1 #4f,706- Field 1 Sample 4f Northwood North side of shelterbelt- west,ND,706
WM_production_1,2007,Red River Valley,SI Production Field 2007 (see sp notes) F1 #5,"707- Field 1 Sample 5 Middle ""N""",ND,707
WM_production_1,2007,Red River Valley,SI Production Field 2007 (see special notes) F1 #6,708- Field 1 Sample 6 Northwest backwards Z transect: middle corner (LH),ND,708
WM_production_1,2007,Red River Valley,SI Production Field 2007 (see sp notes) F1 #7,709- Field 1 Sample 7 backwards Z transect: top RH corner ,ND,709
WM_production_2,2007,Red River Valley,SI Production Field 2007 (see sp notes) F2 #4,711- Field 2 Sample 2 Z: middle of top line,ND,713
WM_production_2,2007,Red River Valley,SI Production Field 2007 (see sp notes) F2 #5,712- Field 2 Sample 3 Z: middle corner (LH),ND,714
WM_production_2,2007,Red River Valley,SI Production Field 2007 (see sp notes) F2 #6,713- Field 2 Sample 4 Z: middle of mid-line,ND,715
WM_production_2,2007,Red River Valley,SI Production Field 2007 (see sp notes) F2 #7,714- Field 2 Sample 5 Z: middle corner (RH),ND,716
WM_production_3,2007,Red River Valley,SI Production Field 2007 (see sp notes) F3 #1,715- Field 2 Sample 6 Z: middle of bottom line,ND,717
WM_production_3,2007,Red River Valley,SI Production Field 2007 (see sp notes) F3 #2,716- Field 2 Sample 7 Z: bottom LH corner SW corner N 47.74350o W 097.36703o 5th Ave NE 25 ST NE,ND,718
WM_production_3,2007,Red River Valley,SI Production Field 2007 (see sp notes) F3 #3,717- Field 3 Sample 1,ND,719
WM_production_3,2007,Red River Valley,SI Production Field 2007 (see sp notes) F3 #4,718- Field 3 Sample 2 2 mi So of Hwy 15 on Hwy 18,ND,720
WM_production_3,2007,Red River Valley,SI Production Field 2007 (see sp notes) F3 #5,719- Field 3 Sample 3 ,ND,721
WM_production_4,2007,Lucerne,SI Production Field 2007 (see sp notes) CO WM-1#3,Collected from infected plants of the dry edible yellow bean variety 'Myasi' (an upright variety) grown along the Front Range area of Colorado in 2007: Weld county. Sent by Howard Schwartz,CO,726
WM_production_4,2007,Lucerne,SI Production Field 2007 (see sp notes) CO WM-1 #4,,CO,727
WM_production_4,2007,Lucerne,SI Production Field 2007 (see sp notes) CO WM-1 #5,,CO,728
WM_production_4,2007,Lucerne,SI Production Field 2007 (see sp notes) CO WM-1 #6,,CO,729
WM_production_4,2007,Lucerne,SI Production Field 2007 (see sp notes) CO WM-1 #7,,CO,730
