ID,repeats,experimental_replicate,picoxystrobin-ecuatorial,picoxystrobin-polar,sham-ecuatorial,sham-polar
461,1,1,27.66,30.07,41.46,43.17
461,2,1,25.85,28.57,40.45,40.09
461,3,1,28.64,30.73,36.42,35
461,1,1,32.84,32.77,45.81,44.88
461,2,1,30.98,32.39,44.02,42.69
461,3,1,33.81,31.21,43.54,42.95
461,1,1,34.27,34.57,46.73,47.54
461,2,1,33.67,32.8,44.46,44.36
461,3,1,32.97,34.03,46.23,49.56
461,1,1,31.59,30.72,40.89,43.54
461,2,1,28.85,26.97,44.71,44.34
461,3,1,29.32,30.79,41.77,41.02
461,1,1,30.92,30.1,46.46,47.93
461,2,1,28.85,29.29,47.37,45.84
461,3,1,29.67,30.53,45.63,45.39
700,1,1,32.78,33.23,52.68,52.61
700,2,1,32.88,34.29,49.32,50.2
700,3,1,33.18,32.29,46.86,46.77
701,1,1,36.42,36.33,52.52,52.52
701,2,1,35.05,37.49,50.14,51.87
701,3,1,36.71,37.76,51.57,54.74
702,1,1,38.53,38.91,53.16,51.99
702,2,1,39.22,38.92,53.78,54.56
702,3,1,38.61,39.76,52.4,52.77
703,1,1,40.72,39.68,52.9,52.3
703,2,1,40.34,40.16,48.65,48.94
703,3,1,36.73,39.73,,
704,1,1,31.97,34.47,47.82,47.77
704,2,1,34.04,34.82,45.31,47.96
704,3,1,33.05,33.81,48.29,48.04
705,1,1,33.76,34.63,45.73,48.41
705,2,1,34.38,33.54,44.43,45.77
705,3,1,33.87,34.07,45.49,45.08
706,1,1,37.79,35.39,45.9,44.57
706,2,1,37.34,36.64,48.29,47.12
706,3,1,36.33,36.76,49.51,47.87
707,1,1,35.62,36.12,54.16,54.98
707,2,1,35.82,34.92,54.98,53.65
707,3,1,34.23,34.92,52.64,52.1
708,1,1,35.63,36.3,48.53,50.7
708,2,1,37.38,38.71,51.97,52.02
708,3,1,37.52,36.61,51.86,51.51
709,1,1,37,36.06,52.76,52.08
709,2,1,39.04,37.87,53.35,52.41
709,3,1,37.6,38.13,55.01,54.31
713,1,1,32.04,32.02,54.5,51.46
713,2,1,35.64,32.13,56.48,55.2
713,3,1,36.85,26.88,55.61,52.17
714,1,1,35.47,36.34,53.68,53.55
714,2,1,37.7,35.48,53.79,52.57
714,3,1,33.66,34.01,55.46,55.07
715,1,1,36.89,35.99,50.02,47.4
715,2,1,34.83,36.27,46.74,47.38
715,3,1,34.96,34.96,51.85,51.28
716,1,1,36.68,35.25,53.32,52.69
716,2,1,35.45,37.17,50.49,53.34
716,3,1,36.13,36.35,53.2,54.93
717,1,1,35.29,35.29,51.9,53.2
717,2,1,34.6,35.03,50.18,50.61
717,3,1,35.14,33.94,49.42,50.31
718,1,1,32.83,32.46,47.46,46.6
718,2,1,34.24,33.39,49.36,48.79
718,3,1,34.57,36.01,48.12,48.34
719,1,1,34.67,34.34,48.31,47.49
719,2,1,34.9,34.52,47.43,46.38
719,3,1,36.02,36.77,46.83,49.38
720,1,1,35.16,36.51,52.22,48.55
720,2,1,35.73,36.45,53.51,51.48
720,3,1,36.64,37.38,45.44,48.72
721,1,1,34.34,34.01,48.48,46.63
721,2,1,32.47,31.82,48.3,49.58
721,3,1,32.72,32.72,47.51,46.96
726,1,1,32.06,32.64,49.54,50.33
726,2,1,34.54,33.17,50.69,50
726,3,1,33.52,32.6,51.08,50.45
727,1,1,34.55,34.11,50.16,48.15
727,2,1,34.05,33.79,53.12,52.13
727,3,1,34.42,31.25,52.79,52.25
728,1,1,35.26,35.15,47.77,48.68
728,2,1,33.6,35.18,48.56,49.32
728,3,1,36.1,37.83,43.85,45.9
729,1,1,36.46,35.57,55.72,54.2
729,2,1,35.35,36.51,54.68,54.36
729,3,1,35.37,35.55,54.1,56.87
730,1,1,34.25,35.66,51.33,53.81
730,2,1,33.37,32.06,51.92,53.25
730,3,1,35.6,35.11,52.46,53.63
733,1,1,35.01,35.18,51.47,48.99
733,2,1,34.27,32.38,51.09,48.86
733,3,1,35.82,34.17,46.97,51.77
734,1,1,38.32,38.74,50.04,51.4
734,2,1,37.92,37.14,50.04,51.9
734,3,1,38.17,38.78,51.74,51.27
735,1,1,36.21,35.94,54.03,51.26
735,2,1,35.49,36.77,52.95,50.65
735,3,1,35.48,35.08,48.34,52.28
736,1,1,35.78,36.48,55.11,55.7
736,2,1,34.58,36,55.76,55.38
736,3,1,36.16,36.85,55.63,55.72
737,1,1,36.72,34.95,57.11,58.98
737,2,1,35.57,38.35,54.2,55.6
737,3,1,37.1,35.51,54.62,55.07
740,1,1,31.75,32.3,51.36,51.02
740,2,1,34.88,33.18,49.81,52.13
740,3,1,31.88,33.45,52.7,53.69
741,1,1,37.69,34.61,53.73,52.2
741,2,1,36.08,34.16,54.86,54.64
741,3,1,37.27,35.81,52.27,52.81
743,1,1,34.87,34.06,53.9,50.52
743,2,1,33.66,34.64,51.66,51.93
743,3,1,34.46,33.52,50.47,51.05
744,1,1,36.76,37.14,54.41,55.74
744,2,1,36.2,36.84,54.8,56.79
744,3,1,38.19,36.86,53.49,54.01
747,1,1,33.67,32.01,50.86,49.76
747,2,1,33.36,32.29,50.9,54.06
747,3,1,29.02,31.76,53.46,52.36
748,1,1,35.53,35.61,48.74,47.64
748,2,1,34.78,35.37,44.74,45.01
748,3,1,35.09,34.75,43.28,44.89
749,1,1,35.51,35.19,46.96,47.58
749,2,1,33.48,35.43,47.64,48.61
749,3,1,34.75,36.62,49.33,48.25
750,1,1,36.06,33.58,47.26,49
750,2,1,32.65,34.32,49.89,50.83
750,3,1,34.09,35.1,52,52.43
752,1,1,33.97,33.13,53.83,53.07
752,2,1,33.47,31.87,51.85,49.76
752,3,1,32.96,32.13,51.54,49.61
753,1,1,33.29,32.77,48.04,47.87
753,2,1,31.39,32.18,47.02,47.65
753,3,1,32.2,29.47,47.62,49.04
754,1,1,36.82,38.19,50.12,52.96
754,2,1,34.86,38.37,53.92,50.79
754,3,1,37.45,36.86,52.59,54.09
758,1,1,31,30.86,50.87,50.56
758,2,1,31.76,32.57,52.21,54.33
758,3,1,33.51,32.92,49.05,48.97
759,1,1,37.14,35.97,54.88,34.48
759,2,1,35.26,34.82,52.5,53.37
759,3,1,34.34,34.86,49.37,51.67
760,1,1,38.42,35.41,53.44,52.03
760,2,1,36.27,35.97,52.82,54.23
760,3,1,36.23,37.82,49.05,52.47
762,1,1,37.83,36.63,51.2,51.79
762,2,1,37.43,36.74,50.67,54.01
762,3,1,36.55,34.52,54.81,55.41
763,1,1,34.2,37.37,53.83,55.45
763,2,1,35.98,35.6,55.43,56.12
763,3,1,35.02,33.68,52.42,55.07
766,1,1,37.77,35.92,53.99,52.2
766,2,1,36.59,35.27,54.81,54.22
766,3,1,37.34,36.69,55.44,52.89
767,1,1,35.04,36.59,52.37,54.78
767,2,1,34.92,35.86,54.13,55.8
767,3,1,36.97,36.57,53.07,52.43
768,1,1,33.12,33.83,47.92,47.8
768,2,1,33.76,33.35,48.94,47.96
768,3,1,32.01,33.86,47.17,49.19
769,1,1,30.59,28.7,43.4,41.12
769,2,1,30.76,31.8,43.96,47.1
769,3,1,32.29,30.38,50.96,50.49
770,1,1,35.71,33.97,51.78,49.55
770,2,1,34.24,35.9,48.83,47.96
770,3,1,32.97,31.1,49.9,48.69
788,1,1,34.53,33.26,52.74,50.68
788,2,1,34.53,35.26,50.45,50.46
788,3,1,34.27,31.83,49.82,50.72
789,1,1,33.48,32.92,51.04,52.52
789,2,1,35.43,35.98,49.44,49.68
789,3,1,33.23,34.06,51.1,52.42
790,1,1,31.94,31.77,45.83,44.84
790,2,1,32.04,31.75,43.54,44.3
790,3,1,33.1,33.01,46.55,46.85
791,1,1,33.05,34.54,50.69,49.15
791,2,1,33.74,33.74,50.01,51.09
791,3,1,31.82,34.38,51.28,51.74
792,1,1,30.06,32.41,51.87,52.28
792,2,1,34.59,32.78,49.96,52.23
792,3,1,33.39,34.78,49.7,49.97
793,1,1,33.14,34.89,46.75,44.75
