ID,repeats,experimental_replicate,sham.ecuatorial,sham.polar,picoxystrobin.ecuatorial,picoxystrobin.polar,boscalid.ecuatorial,boscalid.polar,tetraconazole.ecuatorial,tetraconazole.polar,TM.ecuatorial,TM.polar,control.ecuatorial,control.polar
54C,1,1,6.84,6.93,5.03,5.12,2.13,2.21,3.75,3.75,1.56,1.6,6.25,6.3
54C,2,1,6.71,6.66,5.09,4.76,2.42,2.55,3.92,3.92,1.46,1.46,7.98,8.01
54C,3,1,6.97,6.92,5.13,4.95,2.37,2.44,3.93,3.86,1.42,1.58,7.74,7.76
65B,1,1,6.46,6.73,3.99,4.06,2.67,2.76,3.34,3.11,0.91,0.95,6.79,6.45
65B,2,1,7.03,6.94,4.09,4.25,3.18,3.22,3.5,3.5,1.18,1.11,8.03,8.5
65B,3,1,7.04,6.74,3.96,4.06,3.35,3.22,3.26,3.35,1.02,1.09,7.51,7.18
51C,1,1,6.51,6.45,4.31,4.6,2.59,2.63,2,1.96,1.43,1.43,5.58,5.73
51C,2,1,6.7,6.55,4.32,4.26,2.95,2.95,2.21,2.05,1.29,1.29,7.65,7.95
51C,3,1,6.16,6.4,4.26,4.43,2.68,2.74,2.29,2.29,1.43,1.4,6.86,6.87
71B,1,1,6.69,6.76,4.65,4.72,2.03,1.94,3.05,3.08,1.19,1.03,5.65,5.82
71B,2,1,7.06,7.17,4.42,4.48,2.45,2.12,3.14,3.3,1.45,1.35,8.08,7.98
71B,3,1,6.9,6.98,4.5,4.67,2.33,2.45,3.27,3.26,1.21,1.27,7.21,6.97
26,1,1,6.81,6.79,4.43,4.27,2.55,2.61,3.3,3.34,1.12,1.16,5.94,5.91
26,2,1,7.02,7.22,3.76,3.9,2.97,2.95,3.31,3.53,1.1,1.19,7.26,7.28
26,3,1,6.7,6.7,4.01,4.16,3.18,3.2,3.37,3.41,1.23,1.1,7.15,7.41
64D,1,1,6.85,7.07,4.67,4.33,2.23,2.15,0.76,0.95,1.27,1.27,7.22,7.45
64D,2,1,7.26,7.17,4.41,4.41,2.14,2.17,0.92,0.7,1.39,1.25,7.12,7.38
64D,3,1,7.12,7.14,4.47,4.58,2.34,2.3,1.04,0.83,1.42,1.47,6.3,6.47
53B,1,1,6.16,6.11,4.18,4.2,2.22,2.26,1.57,1.72,1.26,1.35,5.13,5.18
53B,2,1,6.41,6.48,4.24,4.06,2.73,2.73,1.82,2.01,1.44,1.35,6.91,7.08
53B,3,1,6.1,6.08,4.16,4.21,2.74,2.49,1.72,1.72,1.36,1.3,6.37,6.66
60A,1,1,6.8,6.34,3.97,4.06,2.66,2.73,3.21,3.09,1.17,1.35,7.91,7.81
60A,2,1,6.72,6.65,4.17,4.1,2.97,2.97,3.26,3.22,1.18,1.29,7.74,7.95
60A,3,1,6.86,7,4.17,4.08,2.71,2.76,3.65,3.72,1.22,1.25,7.36,7.6
274,1,1,6.37,6.11,3.94,4.03,2.29,1.85,1.08,0.97,1.1,0.96,7.18,7.38
274,2,1,6.89,6.74,4.29,4.03,2.33,2.37,0.85,0.73,0.92,0.73,7.03,7.72
274,3,1,6.31,6.31,4.19,4.15,2.62,2.32,0.94,1.08,0.99,1.13,6.55,6.21
307,1,1,5.37,5.83,3.84,3.92,2.29,2.34,3.42,3.35,1.42,1.26,8.2,7.98
307,2,1,7.39,7.36,4,4.23,2.66,2.61,2.88,2.71,1.25,1.27,7.34,7.77
307,3,1,6.58,6.58,3.88,3.84,2.53,2.19,2.59,2.85,1.1,1.26,7.61,7.02
456,1,1,5.26,4.89,3.33,3.49,2.26,2.76,2.56,2.82,0.91,0.78,5.79,5.94
456,2,1,6.06,6.06,3.56,3.79,2.57,3.1,2.27,2.52,1.12,0.97,6.42,6.11
456,3,1,5.91,5.96,3.81,3.67,2.59,3.14,2.34,2.45,1.06,0.79,5.57,6.38
478,1,1,7.1,7.05,4.15,4.46,2.59,2.49,3.4,3.29,1.6,1.55,8.5,8.5
478,2,1,7.16,6.93,4.69,4.55,2.68,2.78,3.21,3.33,1.5,1.62,7.53,7.58
478,3,1,7.4,7.1,4.43,4.62,2.88,2.84,3.69,3.86,1.46,1.38,8.07,7.94
479,1,1,6.86,6.71,3.56,3.71,2.48,2.77,2.75,2.92,1.16,1.23,6.22,6.84
479,2,1,6.48,6.34,3.71,3.88,2.99,3.33,2.77,2.58,1.13,1.3,7.05,7.58
479,3,1,6.65,6.79,3.73,3.94,3.29,3.1,2.69,2.45,0.97,1.04,6.91,7.12
482,1,1,7.37,7.19,4.71,4.54,2.11,1.94,4.27,4.16,1.06,1.02,7.92,7.97
482,2,1,7.56,7.54,4.84,4.78,1.98,2.07,3.76,3.83,1.36,1.31,8.05,7.73
482,3,1,7.31,7.46,4.93,4.97,2.06,2.14,3.95,4.16,1.05,1.08,7.97,8.06
504,1,1,6.43,6.6,3.41,3.3,2.39,2.39,2.48,2.3,0.97,0.97,8.5,8.5
504,2,1,6.49,6.49,3.52,3.83,2.06,2.03,2.26,2.13,0.92,1.02,7.14,6.91
504,3,1,6.54,6.16,3.48,3.69,2.49,2.42,2.49,2.55,1.02,1.02,6.74,6.77
505,1,1,6.65,6.68,4.01,3.83,2.06,2.17,3.86,3.71,1.22,1.28,7.63,7.7
505,2,1,6.32,6.36,4.3,4.1,2.51,2.18,3.3,3.24,1.232,1.33,7.11,7.74
505,3,1,7.04,6.59,4.11,3.86,2.25,1.91,3.28,3.41,1.27,1.45,8.13,7.92
698,1,1,6.27,6.05,3.38,3.12,2.25,2.14,2.88,2.86,1.24,1.32,7.19,7.29
698,2,1,6.16,6.19,4.38,3.69,2.1,2.86,2.94,2.86,1.36,1.52,7.15,7
698,3,1,6.01,6.12,3.98,4.05,2.01,2.52,2.83,2.57,0.98,1.06,7.46,7.6
699,1,1,6.73,6.7,4.2,4.02,2.43,2.29,2.81,3.06,1.26,1.2,7.52,7.43
699,2,1,6.88,7.03,3.74,3.8,2.03,2.17,2.82,2.96,1.34,1.42,7.77,7.54
699,3,1,6.68,6.48,3.95,3.75,1.97,2.14,2.83,2.8,1.21,1.1,7.38,7.53
710,1,1,6.81,6.75,3.99,3.81,2.27,2.24,2.62,2.41,1.12,1.17,6.36,6.66
710,2,1,6.95,7.02,3.91,4,2.31,2.23,2.33,2.17,1.33,1.17,7.4,7.4
710,3,1,6.97,6.69,3.89,3.76,2.38,2.24,2.3,2.06,0.9,1.01,7.33,7.49
711,1,1,7.03,6.67,3.68,3.92,2.22,2.22,1.24,1.18,1.3,1.04,8.12,8.03
711,2,1,6.36,6.28,4.19,4.19,2.65,2.22,1.09,1.09,1.66,1.51,7.35,7.05
711,3,1,5.46,4.72,4.09,4.46,2.23,2.41,1.06,1.24,1.5,1.42,6.41,6.95
724,1,1,6.31,6.4,3.19,3.18,2.2,2.07,1.05,0.96,1.29,1.4,8.08,8.44
724,2,1,7.23,7.3,3.42,3.62,2.7,2.34,1.11,0.93,1.43,1.64,7.4,7.46
724,3,1,6.94,6.89,3.87,3.88,2.1,2.32,0.89,0.74,1.33,1.39,8.29,7.55
725,1,1,7.15,7.39,4.12,4.07,2.52,2.37,1.25,1.36,1.53,1.49,7.34,7.11
725,2,1,7.89,7.82,4.48,4.16,2.76,2.6,1.54,1.4,1.88,1.93,7.93,7.89
725,3,1,7.63,7.59,4.36,4.34,2.8,2.72,1.69,1.58,1.71,1.89,7.46,7.17
731,1,1,7.39,7.45,3.99,4.06,2.33,2.41,2.59,2.52,1.4,1.25,8.21,7.9
731,2,1,6.95,6.86,4.32,4.04,2.21,2.28,1.58,1.72,1.34,1.43,7.75,8.06
731,3,1,6.97,7.07,4.46,4.35,2.28,2.33,1.67,1.72,1.46,1.41,8.03,7.66
732,1,1,6.08,6.33,3.34,3.52,1.8,1.91,3.23,3.27,1.57,1.29,6.61,6.61
732,2,1,6.06,6.51,3.33,3.31,1.93,1.97,2.91,2.86,1.49,1.47,6.93,6.61
732,3,1,6.87,6.84,3.77,3.63,1.85,1.81,2.97,2.83,1.39,1.59,6.6,6.76
738,1,1,7.47,7.51,4.52,4.16,2.39,2.23,2.71,2.32,1.59,1.31,7.69,8.02
738,2,1,7.1,7.05,4.54,4.58,2.29,2.23,2.34,1.81,1.3,1.44,7.85,8.09
738,3,1,7.7,7.87,4.68,4.54,2.11,2.04,2.08,1.75,1.42,1.34,7.84,7.96
739,1,1,6.28,6.49,3.73,3.58,1.62,1.93,2.97,3.2,1.36,1.54,7.1,6.98
739,2,1,6.37,5.67,3.38,3.45,1.86,1.61,2.84,2.73,1.46,1.26,7.24,6.91
739,3,1,6.45,6.53,3.79,3.59,2.2,2.14,2.8,2.54,1.41,1.11,7.69,6.78
746,1,1,6.04,6.04,3.62,2.97,2.41,2.12,1.38,1.18,1.44,1.23,6.96,7.18
746,2,1,7.14,7.18,3.97,4.07,2.59,2.24,1.25,1.02,1.61,1.39,7.25,7.53
746,3,1,6.7,6.58,3.79,3.92,1.9,2.73,1.04,0.99,1.13,1.01,7.38,7.26
751,1,1,6.67,6.51,3.84,3.94,2.27,2.05,1.94,1.93,1.17,1.28,7.59,6.87
751,2,1,6.13,6.41,4.16,4.52,1.94,2.32,1.86,1.83,1.35,1.23,7.13,7.39
751,3,1,6.68,6.53,3.73,3.62,2.1,2.39,1.87,1.74,1.05,1.1,7.17,7.33
752,1,1,7.41,7.24,4.08,3.97,2.1,2.15,2.83,2.59,1.63,1.59,7.59,7.61
752,2,1,6.97,6.73,4.26,4.23,2.28,2.18,2.05,1.64,1.37,1.3,7.63,7.3
752,3,1,7.24,6.96,4.21,4.37,2.14,2.11,2.13,2.05,1.59,1.59,8.22,7.98
753,1,1,6,5.91,3.76,3.61,1.41,1.46,0.83,0.64,0.95,0.89,6.52,6.42
753,2,1,6.48,6.34,3.34,3.1,1.8,1.72,0.68,0.75,1.21,1.14,6.31,6.4
753,3,1,6.42,6.53,3.82,3.75,1.72,1.56,0.69,0.69,1.09,1.03,6.48,6.55
755,1,1,6.92,6.96,3.71,3.55,2.14,2.16,2.05,2.21,1.37,1.23,7.55,7.49
755,2,1,6.78,6.98,4.11,4.11,2.13,2.25,1.76,1.7,1.43,1.36,7.62,7.33
755,3,1,6.76,6.78,4.5,4.29,2.31,2.28,2.39,2.21,1.33,1.26,7.14,7.27
756,1,1,6.87,6.77,4.22,4.38,3.06,3.11,3.53,3.53,1.42,1.43,7.87,7.54
756,2,1,6.79,6.72,4.71,4.36,3.41,3.52,3.38,3.47,1.33,1.37,7.83,7.65
756,3,1,7.11,7.11,4.62,4.64,3,2.97,3.51,3.58,1.22,1.28,8.23,8.5
757,1,1,7.68,7.75,4.62,4.61,2.94,2.24,3.64,3.89,1.12,1.26,8.5,8.5
757,2,1,7.54,7.5,4.91,4.9,2.47,2.54,3.5,3.38,1.19,1.31,8.01,8.27
757,3,1,7.62,7.62,4.96,5.04,2.47,2.62,3.43,3.56,1.19,1.48,8.5,8.5
764,1,1,6.08,6.32,3.62,4.01,2.82,2.87,3.08,2.89,1.39,1.43,7.75,7.73
764,2,1,5.62,5.66,3.39,2.84,2.39,2.66,2.9,2.96,0.9,1.02,6.15,6.37
764,3,1,6.25,6.45,4.27,4.1,2.73,2.37,3.01,2.94,1.06,0.95,7.64,6.65
765,1,1,6.76,6.57,4.34,4.51,2.82,2.86,1.21,1.18,1.6,1.52,7.84,8.08
765,2,1,7.57,7.34,4.48,4.49,2.71,2.6,1.15,1.05,1.34,1.36,8.13,8.21
765,3,1,7.07,7.26,4.36,4.5,2.66,2.95,1.18,1.23,1.4,1.37,7.94,8.36
771,1,1,6.31,6.39,3.44,3.71,2.81,2.3,3.12,3,1.17,1.01,6.79,6.83
771,2,1,5.58,5.85,4.22,4.46,2.68,2.81,2.74,2.74,0.8,0.8,7.52,7.73
771,3,1,6.49,6.54,4.33,4.16,2.35,2.32,2.63,2.61,1.21,0.97,7.01,6.88
772,1,1,7.6,7.57,4.66,4.51,2.69,2.8,3.79,3.74,1.6,1.7,8.06,8.09
772,2,1,7.65,7.65,4.65,4.94,3.07,2.98,3.59,3.71,1.82,1.64,8.25,8.22
772,3,1,7.34,7.63,4.98,4.98,2.94,2.88,3.44,3.55,1.65,1.45,8.5,8.5
786,1,1,6.08,5.97,3.55,3.53,2.39,2.25,2.55,2.63,0.91,0.93,5.53,5.39
786,2,1,5.7,5.63,3.77,3.67,2.22,2.55,2.92,2.74,0.76,1.1,5.86,6.04
786,3,1,5.99,5.43,3.86,3.91,2.66,2.42,2.36,2.36,1.09,1,6.4,6.52
787,1,1,6.34,6.42,4,4.18,3.27,2.98,2.69,3.02,1.47,1.45,6.7,6.59
787,2,1,6,5.94,4.5,4.38,2.81,2.95,1.86,2.11,1.33,1.13,8.06,8.28
787,3,1,6.86,6.67,4.64,4.6,2.74,2.77,2.35,2.53,1.13,1.06,8.49,8.02
