ID,repeats,experimental_replicate,TM-ecuatorial,TM-polar,control-ecuatorial,control-polar
461,1,1,0,0,48.71,51.62
461,2,1,0,0,50.86,53.95
461,3,1,0,0,48.05,50.89
461,1,1,,,,
461,2,1,,,,
461,3,1,,,,
461,1,1,,,,
461,2,1,,,,
461,3,1,,,,
461,1,1,,,,
461,2,1,,,,
461,3,1,,,,
461,1,1,,,,
461,2,1,,,,
461,3,1,,,,
700,1,1,0,0,53.62,52.84
700,2,1,0,0,54.21,52.32
700,3,1,0,0,47.46,52.35
701,1,1,0,0,58.56,58.42
701,2,1,0,0,62.75,57.39
701,3,1,0,0,58.52,57.93
702,1,1,0,0,56.62,56.96
702,2,1,0,0,62.53,61.51
702,3,1,0,0,61.54,63.18
703,1,1,0,0,60.33,60.04
703,2,1,0,0,,
703,3,1,0,0,,
704,1,1,0,0,58.3,56.81
704,2,1,0,0,58.2,57.01
704,3,1,0,0,61.04,60.14
705,1,1,0,0,59.38,56.64
705,2,1,0,0,56.4,56.62
705,3,1,0,0,58.7,59.6
706,1,1,0,0,59.22,60.73
706,2,1,0,0,57.98,61.82
706,3,1,0,0,59.6,62.1
707,1,1,0,0,66.35,69.48
707,2,1,0,0,63.89,64.28
707,3,1,0,0,64.65,63.34
708,1,1,0,0,60.82,62.19
708,2,1,0,0,62.95,63.75
708,3,1,0,0,62.89,61.1
709,1,1,0,0,62.15,65.41
709,2,1,0,0,64.76,63.51
709,3,1,0,0,64.52,64.68
713,1,1,0,0,64.68,66.97
713,2,1,0,0,63.95,67.01
713,3,1,0,0,63.73,66.13
714,1,1,0,0,62.74,63.22
714,2,1,0,0,62.95,59.82
714,3,1,0,0,62.43,64.2
715,1,1,0,0,58.33,61.63
715,2,1,0,0,59.47,62.25
715,3,1,0,0,59.19,60.92
716,1,1,0,0,62.6,62.08
716,2,1,0,0,63.1,63.08
716,3,1,0,0,63.29,61.09
717,1,1,0,0,60.59,62.46
717,2,1,0,0,60.14,61.58
717,3,1,0,0,61.21,60.77
718,1,1,0,0,61.66,61.7
718,2,1,0,0,62.85,63.51
718,3,1,0,0,62.78,65.65
719,1,1,0,0,57.66,58.43
719,2,1,0,0,59.19,59.92
719,3,1,0,0,60.91,62.7
720,1,1,0,0,62.13,62.12
720,2,1,0,0,64.93,64.5
720,3,1,0,0,64.08,63.55
721,1,1,0,0,67.1,60.93
721,2,1,0,0,66.66,63.64
721,3,1,0,0,64.72,64.97
726,1,1,0,0,60.5,58.57
726,2,1,0,0,60.04,59.09
726,3,1,0,0,61.15,59.58
727,1,1,0,0,61.93,59.31
727,2,1,0,0,55.5,58.79
727,3,1,0,0,57.83,58.44
728,1,1,0,0,63.49,61.46
728,2,1,0,0,62.93,62.08
728,3,1,0,0,62.66,61.87
729,1,1,0,0,60.71,62.53
729,2,1,0,0,58.68,62.57
