ID,experimental_replicate,dose,ecuatorial,polar,,,,,,,
1,1,0.00,8.50,8.50,,,,,,,
1,1,0.00,8.50,8.50,,,,,,,
1,1,0.00,8.50,8.50,,,,,,,
1,1,0.00,7.83,8.50,,,,,,,
8,1,0.00,8.34,7.96,,,,,,,
8,1,0.00,8.20,8.50,,,,,,,
8,1,0.00,8.07,8.50,,,,,,,
8,1,0.00,8.13,8.03,,,,,,,
12B,1,0.00,8.50,8.50,,,,,,,
12B,1,0.00,8.50,8.50,,,,,,,
12B,1,0.00,8.50,8.50,,,,,,,
12B,1,0.00,8.50,8.50,,,,,,,
20,1,0.00,8.50,8.50,,,,,,,
20,1,0.00,8.50,8.50,,,,,,,
20,1,0.00,8.50,8.50,,,,,,,
20,1,0.00,8.50,8.50,,,,,,,
123,1,0.00,8.50,8.50,,,,,,,
123,1,0.00,8.50,8.50,,,,,,,
123,1,0.00,8.50,8.50,,,,,,,
123,1,0.00,8.50,8.50,,,,,,,
21,1,0.00,8.50,8.50,,,,,,,
21,1,0.00,8.50,8.50,,,,,,,
21,1,0.00,8.50,8.50,,,,,,,
21,1,0.00,7.90,8.50,,,,,,,
74SS1,1,0.00,7.80,8.50,,,,,,,
74SS1,1,0.00,7.67,7.71,,,,,,,
74SS1,1,0.00,8.02,8.50,,,,,,,
74SS1,1,0.00,7.92,8.04,,,,,,,
87,1,0.00,7.99,8.16,,,,,,,
87,1,0.00,8.50,8.50,,,,,,,
87,1,0.00,8.05,8.50,,,,,,,
87,1,0.00,8.08,8.50,,,,,,,
118,1,0.00,8.17,8.50,,,,,,,
118,1,0.00,8.50,8.50,,,,,,,
118,1,0.00,8.50,8.21,,,,,,,
118,1,0.00,8.50,8.50,,,,,,,
129,1,0.00,8.50,8.50,,,,,,,
129,1,0.00,8.50,8.50,,,,,,,
129,1,0.00,8.50,8.50,,,,,,,
129,1,0.00,8.50,8.50,,,,,,,
449,1,0.00,5.51,5.50,,,,,,,
449,1,0.00,7.22,7.26,,,,,,,
449,1,0.00,7.67,7.80,,,,,,,
449,1,0.00,7.81,7.86,,,,,,,
461,1,0.00,7.10,7.63,,,,,,,
461,1,0.00,7.24,6.90,,,,,,,
461,1,0.00,5.95,5.27,,,,,,,
461,1,0.00,5.11,5.25,,,,,,,
467,1,0.00,8.50,8.50,,,,,,,
467,1,0.00,8.50,8.50,,,,,,,
467,1,0.00,8.50,8.50,,,,,,,
467,1,0.00,8.18,8.22,,,,,,,
475,1,0.00,7.82,7.72,,,,,,,
475,1,0.00,7.84,7.57,,,,,,,
475,1,0.00,7.91,7.80,,,,,,,
475,1,0.00,8.21,7.90,,,,,,,
558,1,0.00,7.71,7.62,,,,,,,
558,1,0.00,7.09,7.13,,,,,,,
558,1,0.00,7.33,7.39,,,,,,,
558,1,0.00,7.60,7.27,,,,,,,
564,1,0.00,8.50,8.50,,,,,,,
