ID,repeats,experimental_replicate,tetraconazole-ecuatorial,tetraconazole-polar,control-ecuatorial,control-polar
461,1,1,22.38,23.39,59.53,57.66
461,2,1,24.96,24.69,58.76,58.2
461,3,1,24.86,24.75,53.79,55.98
461,1,1,22.19,21.07,42.68,41.78
461,2,1,20.4,21.32,42.15,46.5
461,3,1,20.85,20.27,45.24,49.5
461,1,1,18.27,21.08,44.48,47.41
461,2,1,16.69,22.86,47.78,50.88
461,3,1,18.67,19.77,46.83,45.98
461,1,1,25.61,26.36,52.58,52.04
461,2,1,24.94,23.21,48.57,48.52
461,3,1,26.7,25.13,52.78,52.37
461,1,1,21.52,21.76,43.82,50.22
461,2,1,23.08,23.5,43.48,42.41
461,3,1,23.25,22.24,41.94,46.69
700,1,1,0,0,41.04,42.16
700,2,1,0,0,41.33,40.46
700,3,1,0,0,38.8,30.59
701,1,1,26.03,25.22,54.16,54.05
701,2,1,25.91,24.24,53.27,58.74
701,3,1,24.96,25.2,51.73,54.58
702,1,1,23.12,24.24,58.1,58.57
702,2,1,23.76,24.27,54.12,58.31
702,3,1,24.5,26.8,53.95,56.71
703,1,1,25.35,25.57,59.33,58.87
703,2,1,24.11,24.35,58.21,60.02
703,3,1,26.47,25.43,49.9,53.01
704,1,1,13.15,14.15,53.08,54.74
704,2,1,13.9,15.25,56.21,54
704,3,1,13.93,13.54,54.81,55.42
705,1,1,17.03,16.69,54.16,54.75
705,2,1,19.55,19.1,54.27,56.02
705,3,1,13.83,14.39,56.54,57.75
706,1,1,17.7,16.92,53.81,55.62
706,2,1,15.61,15.25,57.13,56.72
706,3,1,15.54,16.78,56.23,55.89
707,1,1,0,0,61.97,57.55
707,2,1,0,0,58.98,59.07
707,3,1,0,0,58.39,60.91
708,1,1,14.57,14.08,58.41,54.97
708,2,1,16.18,15.73,54.35,56.97
708,3,1,14.94,13.2,53.96,53.74
709,1,1,12.73,13.3,57.4,60.79
709,2,1,14.25,15.33,62.31,61.49
709,3,1,15.14,15.6,61.39,63.59
713,1,1,25.26,24.68,59.1,59.98
713,2,1,28.28,30.17,62.45,62.11
713,3,1,28.12,28.14,57.97,57.72
714,1,1,24.55,23.38,50.67,51.49
714,2,1,23.98,25.97,53.66,58.86
714,3,1,22.24,24.6,56.61,59.68
715,1,1,27.75,26.59,59.13,56.56
715,2,1,25.83,27.1,57.26,56.16
715,3,1,28.91,28.76,54.91,56.33
716,1,1,26.24,25.26,56.11,51.83
716,2,1,25.1,25.71,57.77,55.49
716,3,1,26.75,26.84,55.56,55.4
717,1,1,24.23,23.35,44.51,43.24
717,2,1,24.05,20.54,49.17,48.37
717,3,1,21.41,19.32,49.03,50.53
718,1,1,25.87,24.62,60.98,58.6
718,2,1,25.94,27.06,61.16,61.23
718,3,1,25.75,25.59,59.94,60.77
719,1,1,18.38,17.4,53.17,55.34
719,2,1,17.58,17.51,54.18,52.33
719,3,1,17.24,16.97,54.85,54.38
720,1,1,31.02,30.99,60.21,59.72
720,2,1,30.81,31.27,57.32,57.04
720,3,1,32.09,30.96,58.6,61.39
721,1,1,28.65,28.11,56.9,59.38
721,2,1,27.86,27.83,60.49,60.09
721,3,1,28.8,26.7,54.59,61.5
726,1,1,0,0,44.24,43.91
726,2,1,0,0,48.04,45.52
726,3,1,0,0,48.02,49.3
727,1,1,25.56,26.4,54.19,55.22
727,2,1,26.16,26.04,54.36,55.7
727,3,1,24.3,25.1,54.04,54.57
728,1,1,15.26,16.94,56.89,59.49
728,2,1,16.61,16.5,57.51,57.69
728,3,1,17.34,16.46,53.02,54.32
729,1,1,25.61,26.36,52.58,52.04
729,2,1,24.94,23.21,48.57,48.52
729,3,1,26.7,25.13,52.78,52.37
730,1,1,24.29,21.44,52.26,49.33
730,2,1,22.36,23.89,50.91,45.76
730,3,1,25.2,22.78,47.58,52.13
733,1,1,20.75,20.28,46.22,50.75
733,2,1,23.05,24.24,41.34,41.94
733,3,1,24.31,21.64,50.48,42.41
734,1,1,0,0,50.37,47.72
734,2,1,0,0,46.06,46.75
734,3,1,0,0,47.69,49.75
735,1,1,0,0,49.18,52.69
735,2,1,0,0,54.05,49.65
735,3,1,0,0,52.14,53.38
736,1,1,23.53,23.37,49.71,53.03
736,2,1,23.61,24.62,38.11,43.12
736,3,1,22.04,23.52,48.7,49.16
737,1,1,0,0,45.14,39.74
737,2,1,0,0,44.7,46.25
737,3,1,0,0,41.64,42.78
740,1,1,0,0,30.67,30.5
740,2,1,0,0,29.55,31.43
740,3,1,0,0,40.41,36.69
741,1,1,23.97,25.16,50.92,45.07
741,2,1,20.11,21.01,46.92,41.95
741,3,1,23.42,26.94,48.11,43.5
743,1,1,0,0,48.5,53
743,2,1,0,0,49.58,51.84
743,3,1,0,0,49.58,52.46
744,1,1,0,0,46.02,48.63
744,2,1,0,0,48.31,50.59
744,3,1,0,0,46.68,49.12
747,1,1,16.5,15.6,56.57,56.96
747,2,1,16.52,15.04,51.74,46.43
747,3,1,17.04,16.63,53.25,52.71
748,1,1,0,0,41.46,45.4
748,2,1,0,0,52.17,51.9
748,3,1,0,0,47.3,51.27
749,1,1,0,0,52.3,54.02
749,2,1,0,0,54.48,54.27
749,3,1,0,0,51.19,52.39
750,1,1,0,0,44.01,48.24
750,2,1,0,0,42.69,43.08
750,3,1,0,0,45.52,43.37
752,1,1,15.9,15.82,55.79,49.67
752,2,1,14.89,15.31,54.54,49.04
752,3,1,16,15.81,53.03,48.76
753,1,1,0,0,31.22,33.42
753,2,1,0,0,42.31,46.69
753,3,1,0,0,43.4,47.06
754,1,1,0,0,49.23,47.02
754,2,1,0,0,50.26,51.23
754,3,1,0,0,47.7,48.67
758,1,1,23.56,22.03,54.02,50.29
758,2,1,23.4,22.58,59.53,58.52
758,3,1,21.04,20.43,54.74,54.13
759,1,1,16.84,16.2,52.64,46.66
759,2,1,19.13,17.96,53.07,46.85
759,3,1,18.34,15.08,40.62,38.46
760,1,1,19.41,19.53,40.49,41.91
760,2,1,18.51,19.33,49.42,52.3
760,3,1,18.95,19.13,51.93,46.79
762,1,1,21.32,17.13,44.51,41.15
762,2,1,19.37,17.15,41.03,41.84
762,3,1,20.19,17.67,43.46,43.51
763,1,1,22.84,24.9,54.33,54.23
763,2,1,27.36,26.35,63.2,57.68
763,3,1,20.66,22.37,54.04,57.87
766,1,1,21.97,17.87,54.59,49.668
766,2,1,22.35,19.38,51.81,52.79
766,3,1,20.47,18.71,51.29,50.49
767,1,1,20.28,18.72,38.65,37.43
767,2,1,17.6,17.35,43.74,43.54
767,3,1,19.72,20.41,42.46,40.39
768,1,1,27.6,24.82,66.63,68.27
768,2,1,26.11,27.08,69.38,65.89
768,3,1,24.4,23.42,65.16,63.18
769,1,1,0,0,57.48,62.5
769,2,1,0,0,59.83,59.65
769,3,1,0,0,63.42,61.94
770,1,1,24.98,26,42.58,44.96
770,2,1,24.72,25.6,37.15,32.55
770,3,1,25,22.13,41.32,42.62
788,1,1,19.32,20.76,44.72,44.8
788,2,1,16.46,18.33,40.92,45.79
788,3,1,20.16,18.41,43.87,43.32
789,1,1,28.88,27.85,62.52,62.41
789,2,1,27.33,27.58,64.03,61.91
789,3,1,24.96,26.14,64.7,61.01
790,1,1,25.41,25.94,39.96,40.74
790,2,1,24.92,25.63,40.67,40.74
790,3,1,25.24,24.64,39.1,41.62
791,1,1,26.57,27.02,62.39,60.14
791,2,1,23.84,24.8,61.43,67.13
791,3,1,25.46,24.23,57.5,62.31
792,1,1,20.95,21.34,63.81,60.36
792,2,1,21.65,21.01,62.26,63.25
792,3,1,22.14,23.62,62.16,59.99
793,1,1,23.55,24.79,57.87,58.66
793,2,1,23.16,24.08,59.49,61.29
793,3,1,23.34,21.39,60.23,60.34
794,1,1,26.44,24.52,62.64,62.83
794,2,1,25.51,25.15,57.19,61.39
794,3,1,25.92,25.17,59.29,57.67
795,1,1,21,22.15,54.55,56.04
795,2,1,18.48,20.33,56.15,56
795,3,1,20.01,20.55,54.21,55.32
796,1,1,25.47,26.59,59.09,64.04
796,2,1,27.6,27.93,60.42,59.59
