Collection_ID,Year,Host,State,County,Country,Field,Form ID,Serial_agar_dilution_for_creating_the_model_ (N=20),Origin,hyphal_tip (ht),DNA Extraction,lat,long,Size of field (acres),Percentage Affected ,History,Number of Years,Fungicide This Year,Chemigation,Applied for White Mold,Fungicide_current_season,molecule(s)_current_season,company_current_season,Timing,Applications,Rate,Pre-2015 Fungicides,Number of Years,Fungicide_previous_seasons,molecule(s)_previous_seasons,company_previous_seasons,Timing: Soybean,Notes,Apparently low sensitiviy
1 ,1973,drybeans,NE,Morrill,USA,,,Yes,Survey,Yes,No,,,,,,,,,,,,,,,,,,,,,,,
5 ,1973,drybeans,NE,Mitchell,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
5A ,1973,drybeans,NE,Mitchell,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
7 ,1973,sunflower,NE,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
8 ,1973,pigweed,NE,Mitchell,USA,,,Yes,Survey,Yes,No,,,,,,,,,,,,,,,,,,,,,,,
12B ,1974,drybeans,NE,Western ,USA,,,Yes,Survey,Yes,No,,,,,,,,,,,,,,,,,,,,,,,
12Ba,1974,drybeans,NE,Western ,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
12Bb,1974,drybeans,NE,Western ,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
13B ,1974,drybeans,NE,Western ,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
13Ba,1974,drybeans,NE,Western ,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
13Bb,1974,drybeans,NE,Western ,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
13Bc,1974,drybeans,NE,Western ,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
13E ,1974,drybeans,NE,Western ,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
13Ea,1974,drybeans,NE,Western ,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
13Eb,1974,drybeans,NE,Western ,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
13Ec,1974,drybeans,NE,Western ,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
15 ,1974,drybeans,NE,Western ,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
15a,1974,drybeans,NE,Western ,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
15b,1974,drybeans,NE,Western ,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
15c,1974,drybeans,NE,Western ,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
19 ,1974,drybeans,NE,Western ,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
19a,1974,drybeans,NE,Western ,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
19b,1974,drybeans,NE,Western ,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
19c,1974,drybeans,NE,Western ,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
20 ,1974,drybeans,NE,Western ,USA,,,Yes,Survey,Yes,No,,,,,,,,,,,,,,,,,,,,,,,
21 ,1974,drybeans,NE,Western ,USA,,,Yes,Survey,Yes,No,,,,,,,,,,,,,,,,,,,,,,,
26 ,1974,drybeans,NE,Western ,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
27 ,1974,drybeans,NE,Scotts Bluff,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
74 ,1974,drybeans,NE,Alliance,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
74a,1974,drybeans,NE,Alliance,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
74b,1974,drybeans,NE,Alliance,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
74c,1974,drybeans,NE,Alliance,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
74-SS-1 ,1974,drybeans,NE,Alliance,USA,,,Yes,Survey,Yes,No,,,,,,,,,,,,,,,,,,,,,,,
74-SS-2 ,1974,drybeans,NE,Alliance,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
