ID,experimental_replicate,dose,ecuatorial,polar
1,1,0,5.73,5.86
1,1,0,6.11,6.01
1,1,0,5.37,5.3
1,1,0,6.03,5.43
8,1,0,5.23,5.23
8,1,0,5.6,5.18
8,1,0,5.47,5.34
8,1,0,5.59,5.79
12B,1,0,6.11,5.91
12B,1,0,6.1,6.24
12B,1,0,6.57,6.34
12B,1,0,6.38,6.31
20,1,0,5.46,5.07
20,1,0,5.87,5.84
20,1,0,5.25,5.24
20,1,0,5.39,5.65
21,1,0,5.86,5.6
21,1,0,5.94,6.09
21,1,0,6.46,5.98
21,1,0,5.8,5.74
74SS1,1,0,5.72,5.36
74SS1,1,0,6.34,6.01
74SS1,1,0,6.54,6.61
74SS1,1,0,6.46,6.59
87,1,0,5.91,5.73
87,1,0,5.97,5.47
87,1,0,6.02,6.29
87,1,0,5.35,5.25
118,1,0,6.56,6.31
118,1,0,6.35,6.29
118,1,0,7.38,7.27
118,1,0,6.67,6.78
123,1,0,6.67,6.46
123,1,0,5.66,6.17
123,1,0,6.13,6.42
123,1,0,6.27,5.57
129,1,0,5.35,5.9
129,1,0,5.62,5.67
129,1,0,5.59,6.09
129,1,0,5.95,5.87
449,1,0,6.78,6.61
449,1,0,7.71,7.84
449,1,0,5.72,5.69
449,1,0,8.21,8.21
461,1,0,5.07,4.95
461,1,0,5.83,5.09
461,1,0,4.96,5.14
461,1,0,4.96,4.67
467,1,0,4.93,4.92
467,1,0,5.1,5.33
467,1,0,5.69,5.97
467,1,0,4.66,4.71
475,1,0,5.74,6.11
475,1,0,6.13,6.05
475,1,0,6.86,6.06
475,1,0,5.89,6.26
558,1,0,5.4,5.46
558,1,0,6.2,5.89
558,1,0,6.14,6.08
558,1,0,5.78,6
564,1,0,5.5,5.54
564,1,0,5.59,5.42
564,1,0,6.21,5.91
564,1,0,5.66,6.09
568,1,0,6.05,5.36
568,1,0,6.05,6.09
568,1,0,6.44,6.34
568,1,0,5.48,5.34
581,1,0,6.47,6.25
581,1,0,6.7,6.71
581,1,0,6.66,6.72
581,1,0,6.61,7.09
645,1,0,5.75,5.92
645,1,0,6.03,5.45
645,1,0,5.28,5.68
645,1,0,5.57,5.67
667,1,0,6.18,6.12
667,1,0,6.01,5.68
667,1,0,5.91,5.78
667,1,0,5.57,5.68
800,1,0,6.43,6.57
800,1,0,6.81,6.79
800,1,0,7.15,7.46
800,1,0,6.57,6.41
62-02,1,0,4.47,4.53
62-02,1,0,5.24,4.75
62-02,1,0,5.53,5.21
62-02,1,0,5.51,5.64
62-03,1,0,5.86,5.94
62-03,1,0,6.59,6.15
62-03,1,0,6.5,6.26
62-03,1,0,6.33,5.81
62-04,1,0,6.26,6.01
62-04,1,0,6.81,6.84
62-04,1,0,6.72,7.02
62-04,1,0,6.69,6.95
78-01,1,0,7.79,7.65
78-01,1,0,7.78,7.86
78-01,1,0,8.07,7.91
78-01,1,0,7.8,7.88
78-02,1,0,5.55,6.03
78-02,1,0,6.18,6.21
78-02,1,0,6.49,6.8
78-02,1,0,6.77,6.66
78-05,1,0,5.69,5.67
78-05,1,0,6.02,6.18
