ID,experimental_replicate,dose,ecuatorial,polar,,,,,,,,,,
1,1,0.00,7.45,7.26,,,,,,,,,,
1,1,0.00,7.34,7.27,,,,,,,,,,
1,1,0.00,7.32,7.13,,,,,,,,,,
1,1,0.00,7.18,7.44,,,,,,,,,,
8,1,0.00,6.21,6.36,,,,,,,,,,
8,1,0.00,6.93,7.10,,,,,,,,,,
8,1,0.00,6.51,6.80,,,,,,,,,,
8,1,0.00,6.21,6.82,,,,,,,,,,
12B,1,0.00,6.93,6.91,,,,,,,,,,
12B,1,0.00,7.26,7.23,,,,,,,,,,
12B,1,0.00,7.03,7.10,,,,,,,,,,
12B,1,0.00,6.77,6.70,,,,,,,,,,
20,1,0.00,7.26,7.26,,,,,,,,,,
20,1,0.00,7.30,7.37,,,,,,,,,,
20,1,0.00,7.07,7.01,,,,,,,,,,
20,1,0.00,7.14,6.98,,,,,,,,,,
123,1,0.00,6.18,5.84,,,,,,,,,,
123,1,0.00,6.47,6.14,,,,,,,,,,
123,1,0.00,6.12,5.92,,,,,,,,,,
123,1,0.00,6.82,6.63,,,,,,,,,,
21,1,0.00,6.18,5.84,,,,,,,,,,
21,1,0.00,6.47,6.14,,,,,,,,,,
21,1,0.00,6.12,5.92,,,,,,,,,,
21,1,0.00,6.82,6.63,,,,,,,,,,
74SS1,1,0.00,7.45,7.18,,,,,,,,,,
74SS1,1,0.00,7.21,7.22,,,,,,,,,,
74SS1,1,0.00,7.41,7.33,,,,,,,,,,
74SS1,1,0.00,7.05,7.15,,,,,,,,,,
87,1,0.00,7.71,7.44,,,,,,,,,,
87,1,0.00,7.28,7.13,,,,,,,,,,
87,1,0.00,7.00,6.91,,,,,,,,,,
87,1,0.00,6.80,6.60,,,,,,,,,,
118,1,0.00,7.09,7.09,,,,,,,,,,
118,1,0.00,7.51,7.57,,,,,,,,,,
118,1,0.00,6.55,6.44,,,,,,,,,,
118,1,0.00,7.43,7.41,,,,,,,,,,
129,1,0.00,5.36,5.56,,,,,,,,,,
129,1,0.00,6.61,6.37,,,,,,,,,,
129,1,0.00,6.76,6.59,,,,,,,,,,
129,1,0.00,6.20,6.04,,,,,,,,,,
449,1,0.00,6.91,6.73,,,,,,,,,,
449,1,0.00,6.59,6.37,,,,,,,,,,
449,1,0.00,5.79,5.80,,,,,,,,,,
449,1,0.00,6.10,6.11,,,,,,,,,,
461,1,0.00,4.19,4.29,,,,,,,,,,
461,1,0.00,4.57,4.50,,,,,,,,,,
461,1,0.00,4.68,4.81,,,,,,,,,,
461,1,0.00,5.00,4.89,,,,,,,,,,
467,1,0.00,5.95,5.83,,,,,,,,,,
467,1,0.00,5.90,5.65,,,,,,,,,,
467,1,0.00,5.70,5.26,,,,,,,,,,
467,1,0.00,6.11,6.12,,,,,,,,,,
475,1,0.00,6.47,6.34,,,,,,,,,,
475,1,0.00,5.82,5.92,,,,,,,,,,
475,1,0.00,5.56,5.46,,,,,,,,,,
475,1,0.00,5.65,5.69,,,,,,,,,,
558,1,0.00,6.75,6.80,,,,,,,,,,
558,1,0.00,7.19,7.05,,,,,,,,,,
558,1,0.00,7.29,7.38,,,,,,,,,,
558,1,0.00,7.21,6.99,,,,,,,,,,
564,1,0.00,6.35,6.34,,,,,,,,,,
564,1,0.00,6.10,6.14,,,,,,,,,,
564,1,0.00,6.53,6.17,,,,,,,,,,
564,1,0.00,6.71,7.04,,,,,,,,,,
568,1,0.00,6.31,6.67,,,,,,,,,,
568,1,0.00,7.34,7.13,,,,,,,,,,
568,1,0.00,7.52,7.76,,,,,,,,,,
568,1,0.00,6.75,6.62,,,,,,,,,,
581,1,0.00,7.17,7.30,,,,,,,,,,
581,1,0.00,6.54,6.39,,,,,,,,,,
581,1,0.00,6.88,6.88,,,,,,,,,,
581,1,0.00,7.23,7.24,,,,,,,,,,
645,1,0.00,5.24,5.05,,,,,,,,,,
645,1,0.00,5.58,5.16,,,,,,,,,,
645,1,0.00,5.72,5.46,,,,,,,,,,
645,1,0.00,6.07,6.08,,,,,,,,,,
667,1,0.00,6.82,6.63,,,,,,,,,,
667,1,0.00,6.68,6.67,,,,,,,,,,
667,1,0.00,6.93,7.14,,,,,,,,,,
667,1,0.00,6.55,6.39,,,,,,,,,,
800,1,0.00,6.62,6.44,,,,,,,,,,
800,1,0.00,7.00,6.65,,,,,,,,,,
800,1,0.00,6.74,6.52,,,,,,,,,,
800,1,0.00,6.96,6.81,,,,,,,,,,
62-02,1,0.00,6.84,6.70,,,,,,,,,,
62-02,1,0.00,6.99,7.32,,,,,,,,,,
62-02,1,0.00,7.18,7.42,,,,,,,,,,
62-02,1,0.00,6.99,7.18,,,,,,,,,,
62-03,1,0.00,6.79,6.50,,,,,,,,,,
62-03,1,0.00,6.31,6.49,,,,,,,,,,
62-03,1,0.00,6.15,6.21,,,,,,,,,,
62-03,1,0.00,6.52,6.58,,,,,,,,,,
62-04,1,0.00,7.04,6.90,,,,,,,,,,
62-04,1,0.00,7.50,7.43,,,,,,,,,,
62-04,1,0.00,7.27,7.13,,,,,,,,,,
62-04,1,0.00,7.14,6.87,,,,,,,,,,
78-01,1,0.00,6.31,6.57,,,,,,,,,,
78-01,1,0.00,6.65,6.96,,,,,,,,,,
78-01,1,0.00,6.87,6.60,,,,,,,,,,
78-01,1,0.00,6.58,6.68,,,,,,,,,,
78-02,1,0.00,7.30,7.35,,,,,,,,,,
78-02,1,0.00,6.76,6.59,,,,,,,,,,
78-02,1,0.00,6.51,6.01,,,,,,,,,,
78-02,1,0.00,6.71,6.64,,,,,,,,,,
78-05,1,0.00,6.66,6.56,,,,,,,,,,
78-05,1,0.00,4.99,4.95,,,,,,,,,,
78-05,1,0.00,5.15,5.32,,,,,,,,,,
78-05,1,0.00,6.02,6.23,,,,,,,,,,
S-01,1,0.00,6.08,6.15,,,,,,,,,,
S-01,1,0.00,6.97,6.60,,,,,,,,,,
S-01,1,0.00,6.68,6.52,,,,,,,,,,
S-01,1,0.00,5.40,5.40,,,,,,,,,,
H-01,1,0.00,5.59,5.90,,,,,,,,,,
H-01,1,0.00,5.53,5.68,,,,,,,,,,
H-01,1,0.00,6.42,6.56,,,,,,,,,,
H-01,1,0.00,5.36,5.57,,,,,,,,,,
H-03,1,0.00,6.55,6.50,,,,,,,,,,
H-03,1,0.00,6.47,6.39,,,,,,,,,,
H-03,1,0.00,7.05,7.02,,,,,,,,,,
H-03,1,0.00,6.32,6.48,,,,,,,,,,
H-04,1,0.00,6.47,6.60,,,,,,,,,,
H-04,1,0.00,5.94,6.06,,,,,,,,,,
H-04,1,0.00,6.19,6.62,,,,,,,,,,
H-04,1,0.00,6.88,7.18,,,,,,,,,,
I-20,1,0.00,5.85,5.90,,,,,,,,,,
I-20,1,0.00,6.33,5.86,,,,,,,,,,
I-20,1,0.00,6.01,5.96,,,,,,,,,,
I-20,1,0.00,6.71,6.73,,,,,,,,,,
419,1,0.00,5.69,5.88,,,,,,,,,,
419,1,0.00,6.11,6.13,,,,,,,,,,
419,1,0.00,6.80,6.68,,,,,,,,,,
419,1,0.00,6.84,6.35,,,,,,,,,,
413,1,0.00,7.33,7.19,,,,,,,,,,
413,1,0.00,7.48,7.43,,,,,,,,,,
413,1,0.00,7.56,7.47,,,,,,,,,,
413,1,0.00,7.07,6.85,,,,,,,,,,
W212,1,0.00,6.26,6.73,,,,,,,,,,
W212,1,0.00,7.24,7.45,,,,,,,,,,
W212,1,0.00,6.87,6.79,,,,,,,,,,
W212,1,0.00,7.35,7.21,,,,,,,,,,
318,1,0.00,7.32,7.39,,,,,,,,,,
318,1,0.00,6.71,6.76,,,,,,,,,,
318,1,0.00,7.41,7.48,,,,,,,,,,
318,1,0.00,7.15,7.18,,,,,,,,,,
1025,1,0.00,7.31,7.18,,,,,,,,,,
1025,1,0.00,6.65,6.56,,,,,,,,,,
1025,1,0.00,6.39,6.27,,,,,,,,,,
1025,1,0.00,5.74,5.78,,,,,,,,,,
1026,1,0.00,6.16,6.28,,,,,,,,,,
1026,1,0.00,5.75,5.75,,,,,,,,,,
1026,1,0.00,5.71,5.58,,,,,,,,,,
1026,1,0.00,6.51,6.56,,,,,,,,,,
1027,1,0.00,5.44,5.62,,,,,,,,,,
1027,1,0.00,5.97,5.90,,,,,,,,,,
1027,1,0.00,5.93,5.79,,,,,,,,,,
1027,1,0.00,5.84,5.91,,,,,,,,,,
1029,1,0.00,6.41,6.30,,,,,,,,,,
1029,1,0.00,6.78,6.60,,,,,,,,,,
1029,1,0.00,6.90,6.66,,,,,,,,,,
1029,1,0.00,6.01,6.32,,,,,,,,,,
1032,1,0.00,5.97,5.94,,,,,,,,,,
1032,1,0.00,6.76,6.45,,,,,,,,,,
1032,1,0.00,5.98,5.86,,,,,,,,,,
1032,1,0.00,6.33,6.10,,,,,,,,,,
1033,1,0.00,7.33,7.09,,,,,,,,,,
1033,1,0.00,6.71,6.63,,,,,,,,,,
1033,1,0.00,6.33,6.40,,,,,,,,,,
1033,1,0.00,6.56,6.47,,,,,,,,,,
1,1,0.01,4.55,4.39,,,,,,,,,,
1,1,0.01,4.56,4.71,,,,,,,,,,
1,1,0.01,4.64,4.56,,,,,,,,,,
1,1,0.01,4.28,3.58,,,,,,,,,,
8,1,0.01,4.42,4.45,,,,,,,,,,
8,1,0.01,4.25,4.50,,,,,,,,,,
8,1,0.01,4.16,4.27,,,,,,,,,,
8,1,0.01,3.78,3.76,,,,,,,,,,
12B,1,0.01,4.24,4.57,,,,,,,,,,
12B,1,0.01,4.15,4.34,,,,,,,,,,
