ID,experimental_replicate,dose,ecuatorial,polar
1,1,0,7.85,7.83
1,1,0,8.14,8.02
1,1,0,8.48,8.5
1,1,0,8.49,8.55
8,1,0,8.5,8.09
8,1,0,8.49,8.28
8,1,0,8.1,8.32
8,1,0,8.5,8.5
12B,1,0,8.05,7.95
12B,1,0,8.01,7.92
12B,1,0,7.91,7.82
12B,1,0,8.03,8.06
20,1,0,8.48,8.43
20,1,0,8.35,8.07
20,1,0,8.12,8.29
20,1,0,8.28,8.39
123,1,0,8.08,8.13
123,1,0,7.53,7.56
123,1,0,7.98,7.85
123,1,0,8.05,7.9
21,1,0,8.17,8.35
21,1,0,8.07,7.82
21,1,0,7.61,7.55
21,1,0,8.17,8.13
74SS1,1,0,7.48,7.66
74SS1,1,0,7.05,7.4
74SS1,1,0,7.79,7.68
74SS1,1,0,7.16,7.53
87,1,0,7.81,7.35
87,1,0,7.81,8.1
87,1,0,7.62,7.87
87,1,0,8.11,8.08
118,1,0,7.52,7.82
118,1,0,7.73,7.83
118,1,0,7.47,7.25
118,1,0,7.49,7.21
129,1,0,7.84,8.09
129,1,0,8.09,8.23
129,1,0,8.23,8.11
129,1,0,7.99,7.82
449,1,0,7.56,7.46
449,1,0,7.8,7.79
449,1,0,7.68,7.98
449,1,0,7.11,7.2
461,1,0,5.82,5.7
461,1,0,5.4,5.53
461,1,0,5.65,5.37
461,1,0,6.48,6.41
467,1,0,6.34,6.76
467,1,0,7.26,7.23
467,1,0,7.41,7.27
467,1,0,7.14,7.2
475,1,0,7.44,7.34
475,1,0,7.51,7.56
475,1,0,7.39,7.39
475,1,0,7.78,7.91
558,1,0,7.09,7.1
558,1,0,7.56,7.36
558,1,0,6.85,6.65
558,1,0,7.17,7.17
564,1,0,7.55,7.31
564,1,0,7.45,7.25
564,1,0,7.3,7.25
564,1,0,7.26,6.93
568,1,0,6.92,6.77
568,1,0,7.39,7.69
568,1,0,7.09,7.29
568,1,0,6.93,7.12
581,1,0,7.89,8.06
581,1,0,7.91,7.98
581,1,0,7.78,7.82
581,1,0,8.12,7.77
645,1,0,7.06,7.23
645,1,0,7.72,7.6
645,1,0,7.33,7.28
645,1,0,7.03,7.2
667,1,0,7.24,7.42
667,1,0,7.21,7.21
667,1,0,7.05,7.08
667,1,0,7.17,7.1
800,1,0,7.87,8.02
800,1,0,7.51,7.42
800,1,0,7.73,7.66
800,1,0,7.93,7.75
62-02,1,0,7.8,8.01
62-02,1,0,7,6.54
62-02,1,0,7.29,7.79
62-02,1,0,7.66,7.73
62-03,1,0,4.87,4.73
62-03,1,0,7.03,6.77
62-03,1,0,6.28,6
62-03,1,0,6.77,7.07
62-04,1,0,7.07,7.19
62-04,1,0,6.92,6.94
62-04,1,0,7.23,6.48
62-04,1,0,7.78,7.94
78-01,1,0,8.15,8.27
78-01,1,0,7.88,8.07
78-01,1,0,8.24,8.37
78-01,1,0,7.86,7.69
78-02,1,0,7.32,7.78
78-02,1,0,7.75,7.49
78-02,1,0,7.34,6.65
78-02,1,0,7.22,7.32
78-05,1,0,,
78-05,1,0,7.41,7.39
78-05,1,0,7.05,7.05
78-05,1,0,6.75,6.89
S-01,1,0,6.11,6.17
S-01,1,0,5.4,5.57
S-01,1,0,6.11,6.93
S-01,1,0,5.35,6.14
H-01,1,0,7.15,7.21
H-01,1,0,7.91,7.59
H-01,1,0,7.62,7.73
H-01,1,0,7.64,7.42
H-03,1,0,7.25,6.95
H-03,1,0,6.12,6.67
H-03,1,0,7.43,6.32
H-03,1,0,6.75,6.58
H-04,1,0,6.86,6.78
H-04,1,0,6.56,6.58
H-04,1,0,7.97,7.88
H-04,1,0,7.79,7.83
I-20,1,0,7.07,7.24
I-20,1,0,7.22,7.2
I-20,1,0,6.93,6.82
I-20,1,0,7.4,7.7
419,1,0,6.9,7.14
419,1,0,6.41,6.04
419,1,0,6.68,6.61
419,1,0,5.8,5.72
413,1,0,6.13,5.39
413,1,0,7.29,6.9
413,1,0,7.1,6.8
413,1,0,7.06,7.68
W212,1,0,7,6.24
W212,1,0,7.15,7.06
W212,1,0,6.81,7.17
W212,1,0,6.89,6.95
318,1,0,7.05,7.06
318,1,0,7.33,7.15
318,1,0,7.03,7.23
318,1,0,7.06,7.13
1025,1,0,7.76,8.24
1025,1,0,6.73,6.58
1025,1,0,7.14,7.45
1025,1,0,6.45,6.8
1026,1,0,7.16,7.26
1026,1,0,7,7.14
1026,1,0,7.83,7.94
1026,1,0,7.62,7.8
1027,1,0,6.54,6.82
1027,1,0,5.48,5.93
1027,1,0,7.44,7.16
1027,1,0,6.86,6.99
1029,1,0,7.46,7.48
1029,1,0,7.37,7.04
1029,1,0,7.65,7.69
1029,1,0,7.4,7.33
1032,1,0,7.86,7.76
1032,1,0,7.93,7.9
1032,1,0,7.49,7.15
1032,1,0,7.79,7.73
1033,1,0,7.02,7.39
1033,1,0,6.7,6.8
1033,1,0,7.32,7.45
1033,1,0,7.54,7.15
1,1,0.5,5.47,5.23
1,1,0.5,4.74,4.89
1,1,0.5,5.04,5.04
1,1,0.5,5.07,5.33
8,1,0.5,5.38,5.2
8,1,0.5,5.08,4.95
8,1,0.5,5,4.78
8,1,0.5,4.94,4.98
12B,1,0.5,5.33,5.28
12B,1,0.5,4.97,5.02
12B,1,0.5,5.1,5.07
12B,1,0.5,4.74,4.68
20,1,0.5,4.77,4.92
20,1,0.5,4.89,4.93
20,1,0.5,4.92,4.85
20,1,0.5,4.76,4.91
123,1,0.5,5.14,4.92
123,1,0.5,4.94,4.93
123,1,0.5,4.96,4.71
123,1,0.5,5.1,4.9
21,1,0.5,3.12,2.77
21,1,0.5,2.99,3.09
21,1,0.5,2.9,2.94
21,1,0.5,3.04,2.78
74SS1,1,0.5,4.61,4.52
74SS1,1,0.5,3.99,4.05
74SS1,1,0.5,4.76,4.38
74SS1,1,0.5,4.22,4.24
87,1,0.5,5.41,5.41
87,1,0.5,4.97,5.29
87,1,0.5,4.98,4.86
87,1,0.5,5,4.99
118,1,0.5,5.03,5.29
118,1,0.5,5.11,5.11
118,1,0.5,5,5
118,1,0.5,4.74,4.6
129,1,0.5,5.07,5.03
129,1,0.5,4.6,4.8
129,1,0.5,4.93,4.87
129,1,0.5,4.85,4.71
449,1,0.5,5.15,5.02
449,1,0.5,5.01,4.9
449,1,0.5,4.41,4.32
449,1,0.5,4.29,4.5
461,1,0.5,4.36,4.28
461,1,0.5,4.27,4.2
461,1,0.5,4.28,4.09
461,1,0.5,4.14,4.15
467,1,0.5,3.11,2.89
467,1,0.5,3.09,3.02
467,1,0.5,2.89,2.82
467,1,0.5,2.83,282
475,1,0.5,5.13,5.11
475,1,0.5,4.95,4.69
475,1,0.5,4.73,4.72
475,1,0.5,4.97,4.78
558,1,0.5,3.26,3.37
558,1,0.5,3.05,3.14
558,1,0.5,2.79,2.73
558,1,0.5,0.2,0.2
564,1,0.5,4.78,4.25
564,1,0.5,4.26,4.54
564,1,0.5,4.62,4.58
564,1,0.5,4.72,4.76
568,1,0.5,5.06,4.69
568,1,0.5,4.77,4.86
568,1,0.5,4.4,4.64
568,1,0.5,4.01,4.4
581,1,0.5,5.41,5.54
581,1,0.5,5.2,5.07
581,1,0.5,5.24,5.34
581,1,0.5,4.62,4.56
645,1,0.5,5.18,5.26
645,1,0.5,5.03,4.88
645,1,0.5,5.03,5.09
645,1,0.5,4.79,4.68
667,1,0.5,3.72,3.66
667,1,0.5,3.12,3.17
667,1,0.5,2.82,2.75
667,1,0.5,3.02,3.15
800,1,0.5,5.13,5.13
800,1,0.5,3.99,4.26
800,1,0.5,4.44,4.28
800,1,0.5,4.13,4.2
62-02,1,0.5,5.42,5.34
62-02,1,0.5,4.34,4.39
62-02,1,0.5,4.08,4.05
62-02,1,0.5,5.07,4.95
62-03,1,0.5,4.28,4.34
62-03,1,0.5,3.99,3.93
62-03,1,0.5,4.01,3.77
62-03,1,0.5,4.72,4.99
62-04,1,0.5,4.89,4.8
62-04,1,0.5,4.1,3.95
62-04,1,0.5,3.92,3.93
62-04,1,0.5,4.11,4.12
78-01,1,0.5,,
78-01,1,0.5,,
78-01,1,0.5,,
78-01,1,0.5,,
78-02,1,0.5,4.37,4.59
78-02,1,0.5,4.27,4.19
