"","ID","Year","Host","State","County","Country","Field","Form.ID","Serial_agar_dilution_for_creating_the_model_..N.20.","Origin","hyphal_tip..ht.","DNA.Extraction","lat","long","Size.of.field..acres.","Percentage.Affected","History","Plot","Number.of.Years","Fungicide.This.Year","Chemigation","Applied.for.White.Mold","Fungicide_current_season","molecule.s._current_season","company_current_season","Timing","Applications","Rate","Pre.2015.Fungicides","Number.of.Years.1","Fungicide_previous_seasons","molecule.s._previous_seasons","company_previous_seasons","Timing..Soybean","Notes","Apparently.low.sensitiviy","Group_MOA_current_season","Group_MOA_previous_seasons","Field_Names"
"1",1,1973,"drybeans","NE","Morrill","USA",NA,NA,"Yes","Survey","Yes","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1973_NA"
"2",5,1973,"drybeans","NE","Mitchell","USA",NA,NA,"No","Survey","No","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1973_NA"
"3",7,1973,"sunflower","NE",NA,"USA",NA,NA,"No","Survey","No","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1973_NA"
"4",8,1973,"pigweed","NE","Mitchell","USA",NA,NA,"Yes","Survey","Yes","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1973_NA"
"5",12,1974,"drybeans","NE","Western ","USA",NA,NA,"Yes","Survey","Yes","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1974_NA"
"6",13,1974,"drybeans","NE","Western ","USA",NA,NA,"No","Survey","No","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1974_NA"
"7",15,1974,"drybeans","NE","Western ","USA",NA,NA,"No","Survey","No","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1974_NA"
"8",19,1974,"drybeans","NE","Western ","USA",NA,NA,"No","Survey","No","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1974_NA"
"9",20,1974,"drybeans","NE","Western ","USA",NA,NA,"Yes","Survey","Yes","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1974_NA"
"10",21,1974,"drybeans","NE","Western ","USA",NA,NA,"Yes","Survey","Yes","No DNA extraction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","unknown","1974_NA"
