"","ID","EC50","group","fungicide"
"1","1",0.114167090983123,"Baseline","Boscalid"
"2","1025",0.113393327914033,"Trial fields","Boscalid"
"3","1026",0.106828740834297,"Trial fields","Boscalid"
"4","1027",0.120281309553834,"Trial fields","Boscalid"
"5","1029",0.145471012774319,"Trial fields","Boscalid"
"6","1032",0.0618363226930434,"Trial fields","Boscalid"
"7","1033",0.142564421192301,"Trial fields","Boscalid"
"8","118",0.0703789513659175,"Baseline","Boscalid"
"9","123",0.0936543114136894,"Baseline","Boscalid"
"10","129",0.120878491437154,"Baseline","Boscalid"
"11","12B",0.105459349491119,"Baseline","Boscalid"
"12","20",0.113333541919808,"Baseline","Boscalid"
"13","21",0.0989805791853368,"Baseline","Boscalid"
"14","318",0.0964116150880819,"Farmer fields","Boscalid"
"15","413",0.112507741066701,"Farmer fields","Boscalid"
"16","419",0.0808145791370088,"Farmer fields","Boscalid"
"17","449",0.175249004842243,"Baseline","Boscalid"
"18","461",0.13032504136834,"Baseline","Boscalid"
"19","467",0.123175552638472,"Baseline","Boscalid"
"20","475",0.124599348403801,"Baseline","Boscalid"
"21","558",0.0982432815035458,"Baseline","Boscalid"
"22","564",0.222154273358464,"Baseline","Boscalid"
"23","568",0.104173208504242,"Baseline","Boscalid"
"24","581",0.122868916666843,"Baseline","Boscalid"
"25","62-02",0.126016428306472,"Farmer fields","Boscalid"
"26","62-03",0.08560722482518,"Farmer fields","Boscalid"
"27","62-04",0.097779538903651,"Farmer fields","Boscalid"
"28","645",0.123254121291183,"Baseline","Boscalid"
"29","667",0.0961764120061519,"Baseline","Boscalid"
"30","74SS1",0.0784414182725853,"Baseline","Boscalid"
"31","78-01",0.089908911898465,"Farmer fields","Boscalid"
"32","78-02",0.10693950754913,"Farmer fields","Boscalid"
"33","78-05",0.130901665623771,"Farmer fields","Boscalid"
"34","8",0.0803970948304524,"Baseline","Boscalid"
"35","87",0.0661236427575605,"Baseline","Boscalid"
"36","H-01",0.11025599067281,"Farmer fields","Boscalid"
"37","H-03",0.0893403399724846,"Farmer fields","Boscalid"
"38","H-04",0.075068180006347,"Farmer fields","Boscalid"
"39","I-20",0.0423007259891664,"Farmer fields","Boscalid"
"40","S-01",0.0721355203546939,"Farmer fields","Boscalid"
"41","W212",0.0886374561893339,"Farmer fields","Boscalid"
"42","1",0.0122952692614465,"Baseline","Picoxystrobin"
"43","1025",0.00860084589149608,"Trial fields","Picoxystrobin"
"44","1026",0.0146378370276209,"Trial fields","Picoxystrobin"
